车名,里程数,年份,城市,售价,原价,变速箱,排放标准,排量/续航,发布时间,年检到期,保险到期,过户次数,马力,气缸类型,车辆级别,燃油标号,驱动方式,品牌
迈巴赫S级 2021款 S 480 4MATIC,3.7,2021-12,福州,135.8,159.35,自动,国VI,3L,2023-11-13,2023-12,2023-12,1,367.0,L6,大型车,95,前置四驱,奔驰
奔驰GLS 2022款 改款二 GLS 450 4MATIC 时尚型,1.9,2022-08,福州,106.88,129.82,自动,国VI,3L,2023-11-08,2024-08,2024-08,0,367.0,L6,大型SUV,95,前置四驱,奔驰
奔驰GLE 2022款 GLE 350 4MATIC 时尚型,1.8,2022-05,福州,63.8,79.87,自动,国VI,2L,2023-12-07,2024-05,2024-05,0,258.0,L4,中大型SUV,95,前置四驱,奔驰
迈巴赫S级 2021款 S 480 4MATIC,2.8,2022-02,福州,143.0,159.35,自动,国VI,3L,2023-11-16,2024-02,2024-02,1,367.0,L6,大型车,95,前置四驱,奔驰
马自达3 昂克赛拉 2021款 2.0L 自动质炫版,2.49,2021-10,福州,9.08,15.19,自动,国VI,2L,2023-11-12,2024-10,2024-10,0,158.0,L4,紧凑型车,92,前置前驱,马自达
奔驰GLE新能源 2022款 GLE 350 e 4MATIC,1.5,2021-12,福州,60.8,89.27,自动,插电混动,88km,2023-11-02,2023-12,2023-12,1,211.0,L4,中大型SUV,,前置四驱,奔驰
奔驰E级 2019款 改款 E 300 L 运动时尚型,6.0,2019-06,福州,32.5,50.56,自动,国VI,2L,2023-11-21,2025-06,2024-06,0,258.0,L4,中大型车,95,前置后驱,奔驰
奔驰GLE 2020款 改款 GLE 450 4MATIC 动感型,7.7,2020-06,福州,59.98,90.62,自动,国VI,3L,2023-11-25,2024-06,2024-06,0,367.0,L6,中大型SUV,95,前置四驱,奔驰
马自达3 昂克赛拉 2017款 三厢 1.5L 自动豪华型 国V,9.0,2017-09,福州,6.68,15.19,自动,国V,1.5L,2023-09-18,2023-09,2023-09,0,117.0,L4,紧凑型车,92,前置前驱,马自达
马自达3 昂克赛拉 2022款 2.0L 自动质雅版,1.62,2022-01,福州,10.28,15.51,自动,国VI,2L,2023-12-05,2024-1,2024-1,0,158.0,L4,紧凑型车,92,前置前驱,马自达
宝马X3 2021款 xDrive28i M运动套装,2.3,2021-05,福州,29.5,46.22,自动,国VI,2L,2023-10-20,2025-05,2024-05,0,224.0,L4,中型SUV,95,前置四驱,宝马
凯迪拉克XT4 2022款 28T 两驱豪华型,2.6,2022-01,福州,18.0,31.77,自动,国VI,2L,2023-10-19,2024-01,2024-01,1,237.0,L4,紧凑型SUV,95,前置前驱,凯迪拉克
迈腾GTE插电混动 2020款 GTE 尊贵型,0.98,2020-05,福州,14.58,29.19,自动,插电混动,56km,2023-11-25,2024-05,2024-05,0,150.0,L4,中型车,,前置前驱,大众
马自达3 昂克赛拉 2016款 三厢 1.5L 自动舒适型,10.0,2016-01,福州,4.9,13.67,自动,国IV(国V),1.5L,2023-11-13,2024-01,2024-01,1,117.0,L4,紧凑型车,92,前置前驱,马自达
马自达3 昂克赛拉 2017款 三厢 1.5L 自动豪华型 国V,5.0,2019-02,福州,7.58,15.19,自动,国V,1.5L,2023-12-06,2025-02,2024-02,0,117.0,L4,紧凑型车,92,前置前驱,马自达
揽胜极光 2020款 249PS R-DYNAMIC S 运动版,2.6,2020-09,福州,20.8,40.79,自动,国VI,2L,2023-12-05,2024-09,2024-09,0,249.0,L4,中型SUV,95,前置四驱,路虎
Cayenne 2015款 Cayenne 3.0T,14.0,2015-09,福州,31.5,105.51,自动,欧V,3L,2023-11-20,2024-09,2024-09,0,333.0,V6,中大型SUV,95,前置四驱,保时捷
发现神行 2017款 2.0T SE,7.0,2017-05,福州,12.8,44.29,自动,欧V,2L,2023-11-20,2024-05,2024-05,1,241.0,L4,中型SUV,95,前置四驱,路虎
马自达3 昂克赛拉 2017款 三厢 1.5L 自动豪华型 国V,4.2,2019-06,福州,6.98,15.19,自动,国V,1.5L,2023-11-09,2025-06,2024-06,0,117.0,L4,紧凑型车,92,前置前驱,马自达
宝马5系 2014款 528Li 领先型,12.0,2015-04,福州,15.98,59.77,自动,国IV(国V),2L,2023-11-20,2024-04,2024-04,0,245.0,L4,中大型车,95,前置后驱,宝马
长安欧尚X7 2020款 1.5T 自动精英型,14.0,2020-04,福州,5.3,9.52,自动,国VI,1.5L,2023-11-20,2024-04,2024-04,0,178.0,L4,紧凑型SUV,92,前置前驱,长安欧尚
奔驰A级(进口) 2019款 A 200 时尚型,3.27,2020-10,福州,16.36,29.72,自动,国VI,1.3L,2023-09-15,2024-10,2023-10,0,163.0,L4,紧凑型车,95,前置前驱,奔驰
马自达3 昂克赛拉 2021款 2.0L 自动质擎版,2.9,2021-10,福州,8.3,14.10,自动,国VI,2L,2023-11-09,2025-10,2024-10,0,158.0,L4,紧凑型车,92,前置前驱,马自达
奔驰S级 2019款 S 320 L 臻藏版,10.8,2019-12,福州,56.8,91.48,自动,国VI,2L,2023-11-16,2023-12,2023-12,2,299.0,L4,大型车,95,前置后驱,奔驰
哈弗H6 2021款 国潮版 1.5GDIT 自动冠军版,2.82,2022-01,福州,8.18,12.36,自动,国VI,1.5L,2023-09-23,2024-1,2023-12,0,169.0,L4,紧凑型SUV,92,前置前驱,哈弗
Panamera 2023款 Panamera 4S 2.9T,0.1,2023-10,福州,128.8,147.95,自动,国VI,2.9L,2023-11-13,2025-10,2024-10,1,441.0,V6,大型车,95,前置四驱,保时捷
保时捷911 2022款 Carrera 3.0T,0.95,2021-05,福州,108.0,138.72,自动,国VI,3L,2023-11-28,2025-05,2024-05,2,385.0,H6,跑车,95,后置后驱,保时捷
奔驰GLE 2021款 GLE 350 4MATIC 时尚型,2.0,2021-07,福州,61.8,80.19,自动,国VI,2L,2023-11-05,2025-07,2024-07,1,258.0,L4,中大型SUV,95,前置四驱,奔驰
Panamera新能源 2023款 Panamera 4 E-Hybrid 2.9T,0.4,2023-06,福州,119.8,129.50,自动,插电混动,44km,2023-09-26,2025-06,2024-06,0,330.0,V6,大型车,,前置四驱,保时捷
保时捷718 2022款 Boxster 2.0T,0.4,2023-08,福州,65.6,63.50,自动,国VI,2L,2023-11-20,2025-08,2024-08,0,250.0,H4,跑车,95,中置后驱,保时捷
Macan 2018款 Macan 2.0T,4.5,2019-10,福州,37.8,59.16,自动,国VI,2L,2023-09-25,2023-10,2023-10,2,252.0,L4,中型SUV,95,前置四驱,保时捷
马自达3 昂克赛拉 2020款 2.0L 自动质雅版,4.0,2020-09,福州,7.38,15.51,自动,国VI,2L,2023-11-23,2024-09,2024-09,0,158.0,L4,紧凑型车,92,前置前驱,马自达
奔驰E级 2022款 E 260 L 运动型,3.6,2021-11,福州,35.18,47.75,自动,国VI,2L,2023-11-28,2023-11,2023-11,0,197.0,L4,中大型车,95,前置后驱,奔驰
揽胜极光 2020款 249PS R-DYNAMIC S 运动版,1.6,2021-03,福州,21.5,40.79,自动,国VI,2L,2023-12-08,2025-03,2024-03,0,249.0,L4,中型SUV,95,前置四驱,路虎
奔驰GLE 2022款 改款 GLE 350 4MATIC 时尚型,4.4,2022-10,福州,63.8,79.87,自动,国VI,2L,2023-11-16,2024-10,2024-10,1,258.0,L4,中大型SUV,95,前置四驱,奔驰
奔驰E级 2021款 E 300 L 时尚型,2.4,2021-01,福州,39.3,50.78,自动,国VI,2L,2023-12-09,2025-01,2024-01,1,258.0,L4,中大型车,95,前置后驱,奔驰
马自达3 昂克赛拉 2014款 两厢 2.0L 自动旗舰型,9.0,2015-02,福州,4.38,17.36,自动,国IV(国V),2L,2023-12-01,2024-02,2024-02,1,158.0,L4,紧凑型车,92,前置前驱,马自达
奔驰E级 2021款 E 300 L 尊贵型,3.7,2021-09,福州,39.9,58.16,自动,国VI,2L,2023-12-06,2025-09,2024-09,0,258.0,L4,中大型车,95,前置后驱,奔驰
奔驰GLE 2021款 GLE 450 4MATIC 时尚型,5.0,2021-02,福州,69.8,90.62,自动,国VI,2.5L,2023-11-16,2025-02,2024-02,1,367.0,L6,中大型SUV,95,前置四驱,奔驰
奔驰GLE 2022款 GLE 350 4MATIC 时尚型,1.6,2022-10,福州,67.8,79.87,自动,国VI,2L,2023-11-08,2024-10,2023-10,1,258.0,L4,中大型SUV,95,前置四驱,奔驰
奔驰S级 2019款 S 350 L 豪华型,8.77,2019-08,福州,64.8,109.29,自动,欧V,3L,2023-11-08,2025-08,2024-08,1,313.0,V6,大型车,95,前置后驱,奔驰
奔驰GLC 2022款 GLC 260 L 4MATIC 动感型,2.0,2022-05,福州,34.58,43.40,自动,国VI,2L,2023-11-16,2024-05,2024-05,1,197.0,L4,中型SUV,95,前置四驱,奔驰
奔驰GLC 2021款 GLC 300 L 4MATIC 动感型,2.8,2022-08,福州,37.5,49.37,自动,国VI,2L,2023-11-16,2024-08,2024-08,1,258.0,L4,中型SUV,95,前置四驱,奔驰
奔驰GLE 2022款 GLE 350 4MATIC 时尚型,0.53,2022-09,福州,68.8,79.87,自动,国VI,2L,2023-09-29,2024-09,2023-09,1,258.0,L4,中大型SUV,95,前置四驱,奔驰
奔驰GLE 2022款 GLE 350 4MATIC 时尚型,0.5,2022-11,福州,,,自动,国VI,2L,2023-12-06,2024-11,2024-11,1,258.0,L4,中大型SUV,95,前置四驱,奔驰
奔驰GLC 2020款 GLC 300 L 4MATIC 动感型,6.1,2019-12,福州,31.58,48.61,自动,国VI,2L,2023-11-16,2023-12,2023-12,1,258.0,L4,中型SUV,95,前置四驱,奔驰
奔驰E级 2021款 E 300 L 时尚型,2.9,2021-04,福州,41.58,50.78,自动,国VI,2L,2023-11-16,2025-04,2024-04,1,258.0,L4,中大型车,95,前置后驱,奔驰
马自达3 昂克赛拉 2019款 云控版 三厢 1.5L 自动豪华型 国V,7.8,2019-12,福州,7.65,15.19,自动,国V,1.5L,2023-09-10,2023-12,2023-12,0,117.0,L4,紧凑型车,92,前置前驱,马自达
奔驰GLA 2022款 GLA 180,3.82,2021-11,福州,17.8,30.26,自动,国VI,1.3L,2023-12-08,2025-11,2024-11,1,136.0,L4,紧凑型SUV,95,前置前驱,奔驰
奔驰GLB 2022款 GLB 200 时尚型,1.1,2022-04,福州,,,自动,国VI,1.3L,2023-12-07,2024-4,2024-4,1,163.0,L4,紧凑型SUV,95,前置前驱,奔驰
奔驰GLC 2020款 改款 GLC 300 L 4MATIC 豪华型,5.8,2020-10,福州,35.5,53.60,自动,国VI,2L,2023-11-16,2024-10,2024-10,1,258.0,L4,中型SUV,95,前置四驱,奔驰
奔驰GLE 2021款 GLE 350 4MATIC 时尚型,2.0,2021-08,福州,58.5,80.19,自动,国VI,2L,2023-11-14,2025-08,2024-08,1,258.0,L4,中大型SUV,95,前置四驱,奔驰
马自达3 昂克赛拉 2016款 三厢 1.5L 自动舒适型,4.6,2015-09,福州,4.88,13.67,自动,国IV(国V),1.5L,2023-12-07,2024-09,2024-09,0,117.0,L4,紧凑型车,92,前置前驱,马自达
奔驰A级AMG(进口) 2020款 AMG A 35 4MATIC,3.2,2020-12,福州,25.8,43.40,自动,国VI,2L,2023-11-14,2024-12,2023-12,1,306.0,L4,紧凑型车,95,前置四驱,奔驰
奔驰EQS 2022款 450+ 先锋版,0.01,2023-01,福州,55.0,117.19,自动,纯电动,849km,2023-10-17,2025-01,2024-01,0,333.0,,大型车,,后置后驱,奔驰
奔驰GLE 2021款 GLE 350 4MATIC 时尚型,6.1,2021-10,福州,,,自动,国VI,2L,2023-11-04,2025-10,2024-10,0,258.0,L4,中大型SUV,95,前置四驱,奔驰
奔驰A级 2021款 A 200 L 运动轿车时尚型,3.0,2021-01,福州,15.8,28.74,自动,国VI,1.3L,2023-10-26,2025-01,2024-01,1,163.0,L4,紧凑型车,95,前置前驱,奔驰
奔驰S级 2018款 S 320 L,13.56,2017-12,福州,,,自动,欧V,3L,2023-11-26,2023-12,2023-12,1,272.0,V6,大型车,95,前置后驱,奔驰
奔驰S级 2021款 S 400 L 豪华型,6.0,2021-03,福州,71.8,114.93,自动,国VI,3L,2023-12-06,2025-03,2024-03,1,313.0,L6,大型车,95,前置后驱,奔驰
奔驰V级 2017款 V 260 领航版,9.8,2018-03,福州,26.58,52.65,自动,国V,2L,2023-11-27,2024-03,2024-03,1,211.0,L4,,95,前置后驱,奔驰
奔驰E级 2021款 E 260 L,2.5,2021-07,福州,37.88,46.76,自动,国VI,1.5L,2023-11-16,2025-07,2024-07,2,184.0,L4,中大型车,95,前置后驱,奔驰
马自达3 昂克赛拉 2017款 三厢 2.0L 自动尊贵型 国V,6.8,2018-01,福州,7.58,16.92,自动,国V,2L,2023-11-07,2024-01,2024-01,1,158.0,L4,紧凑型车,92,前置前驱,马自达
奔驰E级 2018款 改款 E 300 L 运动时尚型,5.0,2018-08,福州,,,自动,欧V,2L,2023-11-10,2024-08,2024-08,1,245.0,L4,中大型车,95,前置后驱,奔驰
奔驰C级 2020款 C 260 运动版,3.5,2019-10,福州,,,自动,国VI,1.5L,2023-12-08,2025-10,2024-10,0,184.0,L4,中型车,95,前置后驱,奔驰
奔驰GLC 2019款 GLC 300 L 4MATIC 动感型,5.0,2019-06,福州,,,自动,欧V,2L,2023-11-11,2025-06,2024-06,1,245.0,L4,中型SUV,95,前置四驱,奔驰
奔驰GLC 2021款 GLC 300 L 4MATIC 动感型,2.4,2021-12,福州,33.6,49.37,自动,国VI,2L,2023-11-04,2023-12,2023-12,0,258.0,L4,中型SUV,95,前置四驱,奔驰
奔驰S级 2023款 改款 S 400 L 商务型,0.7,2023-08,福州,85.8,104.49,自动,国VI,2.5L,2023-11-22,2025-08,2024-08,0,313.0,L6,大型车,95,前置后驱,奔驰
奔驰GLA 2016款 GLA 200 时尚型,8.5,2016-08,福州,10.8,31.46,自动,国V,1.6L,2023-11-05,2024-08,2024-08,1,156.0,L4,紧凑型SUV,95,前置前驱,奔驰
奔驰GLC 2019款 GLC 260 4MATIC 动感型,3.6,2018-12,福州,22.98,46.65,自动,欧V,2L,2023-11-29,2024-12,2023-12,0,211.0,L4,中型SUV,95,前置四驱,奔驰
奔驰C级 2021款 C 200 L 时尚型运动版,3.8,2021-06,福州,23.38,34.71,自动,国VI,1.5L,2023-11-29,2025-06,2024-06,1,156.0,L4,中型车,95,前置后驱,奔驰
