车名,里程数,年份,城市,售价,原价,变速箱,排放标准,排量/续航,发布时间,年检到期,保险到期,过户次数,马力,气缸类型,车辆级别,燃油标号,驱动方式,品牌
雷克萨斯RX 2020款 改款 300 四驱典雅版,1.9,2022-03,龙岩,39.98,51.99,自动,国VI,2L,2023-12-04,2024-03,2024-03,1,231,L4,中大型SUV,95,前置四驱,雷克萨斯
马自达3 昂克赛拉 2020款 2.0L 自动质雅版,4.08,2020-10,龙岩,9.88,15.51,自动,国VI,2L,2023-10-02,2024-10,2023-10,0,158,L4,紧凑型车,92,前置前驱,马自达
奔驰GLC 2021款 GLC 300 L 4MATIC 动感型,6.0,2020-12,龙岩,33.98,49.37,自动,国VI,2L,2023-12-01,2024-12,2023-12,0,258,L4,中型SUV,95,前置四驱,奔驰
奔驰GLC轿跑 2021款 GLC 260 4MATIC 轿跑SUV,4.5,2021-11,龙岩,33.8,50.02,自动,国VI,2L,2023-11-01,2023-11,2023-11,2,197,L4,中型SUV,95,前置四驱,奔驰
奔驰S级 2021款 S 400 L 商务型,4.8,2021-04,龙岩,72.88,97.67,自动,国VI,3L,2023-12-06,2025-04,2024-04,0,313,L6,大型车,95,前置后驱,奔驰
奔驰GLC 2016款 GLC 260 4MATIC 动感型,13.0,2016-06,龙岩,18.98,46.46,自动,欧V,2L,2023-12-05,2024-06,2024-06,3,211,L4,中型SUV,95,前置四驱,奔驰
奔驰A级 2019款 A 180 L 运动轿车,3.5,2019-07,龙岩,14.88,24.94,自动,国VI,1.3L,2023-09-26,2025-07,2024-07,1,136,L4,紧凑型车,95,前置前驱,奔驰
奔驰GLC 2020款 改款 GLC 260 L 4MATIC 豪华型,6.0,2020-04,龙岩,31.8,45.89,自动,国VI,2L,2023-10-10,2024-04,2024-04,1,197,L4,中型SUV,95,前置四驱,奔驰
奔驰B级 2015款 B 200 时尚型,10.6,2016-12,龙岩,9.8,30.61,自动,欧V,1.6L,2023-07-15,2023-12,2023-12,0,156,L4,紧凑型车,95,前置前驱,奔驰
奔驰GLC 2020款 GLC 260 L 4MATIC 动感型,6.0,2019-10,龙岩,29.98,42.64,自动,国VI,2L,2023-10-19,2023-10,2023-10,0,197,L4,中型SUV,95,前置四驱,奔驰
奔驰C级 2015款 C 300 运动版,10.9,2016-05,龙岩,15.88,49.82,自动,欧V,2L,2023-12-07,2024-05,2024-05,0,245,L4,中型车,95,前置后驱,奔驰
奔驰GLE 2015款 GLE 400 4MATIC,8.0,2016-05,龙岩,32.8,101.17,自动,欧V,3L,2023-10-15,2024-05,2024-05,2,333,V6,中大型SUV,95,前置四驱,奔驰
马自达6 2015款 2.0L 自动超豪华型,8.6,2015-09,龙岩,5.18,17.35,自动,国IV(国V),2L,2023-12-09,2024-09,2024-09,0,147,L4,中型车,92,前置前驱,马自达
奔驰GLC 2016款 GLC 260 4MATIC 动感型,13.0,2016-05,龙岩,18.98,46.46,自动,欧V,2L,2023-12-02,2024-05,2024-05,1,211,L4,中型SUV,95,前置四驱,奔驰
