车名,里程数,年份,城市,售价,原价,变速箱,排放标准,排量/续航,发布时间,年检到期,保险到期,过户次数,马力,气缸类型,车辆级别,燃油标号,驱动方式,品牌
马自达3 昂克赛拉 2014款 三厢 1.5L 自动豪华型,9.0,2015-01,宁德,4.5,15.08,自动,国IV(国V),1.5L,2023-12-08,2024-1,2024-1,0,117,L4,紧凑型车,92,前置前驱,马自达
马自达CX-4 2021款 2.0L 自动两驱蓝天活力版,2.2,2021-09,宁德,10.7,16.59,自动,国VI,2L,2023-10-25,2025-09,2024-09,0,158,L4,紧凑型SUV,92,前置前驱,马自达
奔驰GLC 2020款 改款 GLC 260 L 4MATIC 动感型,2.8,2020-06,宁德,30.5,42.85,自动,国VI,2L,2023-12-06,2024-06,2024-06,0,197,L4,中型SUV,95,前置四驱,奔驰
奔驰GLC 2020款 改款 GLC 260 L 4MATIC 豪华型,4.9,2020-09,宁德,32.3,45.89,自动,国VI,2L,2023-11-20,2024-09,2024-09,0,197,L4,中型SUV,95,前置四驱,奔驰
马自达CX-5 2017款 2.0L 自动两驱智享型 国V,7.1,2018-09,宁德,9.9,21.69,自动,国V,2L,2023-12-03,2024-09,2024-09,0,155,L4,紧凑型SUV,92,前置前驱,马自达
马自达CX-5 2015款 2.0L 自动两驱都市型,7.0,2017-04,宁德,6.98,20.71,自动,国IV(国V),2L,2023-12-01,2024-4,2024-4,0,155,L4,紧凑型SUV,92,前置前驱,马自达
睿翼 2009款 2.5L 自动至尊版,11.0,2011-08,宁德,3.8,24.94,自动,欧IV+OBD,2.5L,2023-12-07,2024-8,2024-8,0,169,L4,中型车,92,前置前驱,马自达
奔驰R级 2015款 R 400 4MATIC 商务型,8.0,2015-09,宁德,26.8,82.06,自动,欧V,3L,2023-12-05,2023-9,2023-9,0,333,V6,,95,前置四驱,奔驰
领克05 2022款 2.0TD 两驱耀Halo,2.2,2022-10,宁德,14.88,21.69,自动,国VI,2L,2023-11-21,2024-10,2024-10,0,254,L4,紧凑型SUV,95,前置前驱,领克
探岳 2021款 330TSI 两驱30周年纪念版,3.4,2021-09,宁德,14.9,24.02,自动,国VI,2L,2023-12-02,2025-09,2024-09,0,186,L4,中型SUV,95,前置前驱,大众
哈弗F7 2019款 2.0T 两驱i范 国VI,3.0,2019-06,宁德,7.7,15.52,自动,国VI,2L,2023-11-29,2025-06,2024-06,0,224,L4,紧凑型SUV,92,前置前驱,哈弗
北京现代ix35 2019款 2.0L 自动两驱智勇・畅享版 国VI,3.0,2019-11,宁德,7.9,15.19,自动,国VI,2L,2023-12-09,2025-11,2024-11,0,160,L4,紧凑型SUV,92,前置前驱,现代
RAV4荣放 2021款 2.0L CVT两驱风尚PLUS版,2.2,2021-05,宁德,14.9,21.80,自动,国VI,2L,2023-12-03,2025-05,2024-05,0,171,L4,紧凑型SUV,92,前置前驱,丰田
哈弗大狗 2021款 2.0T DCT两驱中华猎犬版,2.5,2021-07,宁德,10.98,15.84,自动,国VI,2L,2023-11-23,2025-07,2024-07,0,211,L4,紧凑型SUV,92,前置前驱,哈弗
上汽大通MAXUS G10 2016款 2.0T 自动旗舰版,9.5,2017-12,宁德,7.8,29.29,自动,国V,2L,2023-12-07,2024-12,2024-12,0,224,L4,,92,前置后驱,上汽大通MAXUS
宝来 2020款 1.5L 自动精英型,3.0,2020-11,宁德,7.9,15.09,自动,国VI,1.5L,2023-12-09,2024-11,2024-11,0,113,L4,紧凑型车,92,前置前驱,大众
凯美瑞 2019款 改款 2.0G 豪华版,5.6,2020-08,宁德,13.9,21.69,自动,国VI,2L,2023-12-09,2024-08,2024-08,0,178,L4,中型车,92,前置前驱,丰田
途观 2013款 1.8TSI 自动两驱豪华型,9.0,2014-01,宁德,5.6,28.20,自动,国IV(国V),1.8L,2023-12-07,2024-1,2024-1,0,160,L4,紧凑型SUV,95,前置前驱,大众
探岳 2020款 330TSI 两驱豪华智联版,4.0,2020-11,宁德,13.9,23.98,自动,国VI,2L,2023-12-06,2024-11,2024-11,0,186,L4,中型SUV,95,前置前驱,大众
缤越 2020款 PRO 260T DCT游侠,3.2,2020-05,宁德,6.5,11.92,自动,国VI,1.5L,2023-11-05,2024-05,2024-05,0,177,L3,小型SUV,92,前置前驱,吉利汽车
T-ROC探歌 2021款 改款 280TSI DSG两驱精英智联版,0.9,2022-05,宁德,10.9,17.25,自动,国VI,1.4L,2023-09-01,2024-05,2023-05,0,150,L4,紧凑型SUV,95,前置前驱,大众
福克斯 2017款 两厢 EcoBoost 180 自动精英型,9.0,2018-01,宁德,5.6,16.26,自动,国V,1.5L,2023-11-12,2024-1,2024-1,0,181,L4,紧凑型车,92,前置前驱,福特
魏牌 VV5 2020款 1.5T 两驱智先锋,5.0,2020-05,宁德,7.6,14.96,自动,国VI,1.5L,2023-12-07,2024-5,2024-5,0,171,L4,紧凑型SUV,92,前置前驱,魏牌
领克03 2019款 1.5TD DCT劲Pro版 国VI,1.6,2020-07,宁德,9.9,16.15,自动,国VI,1.5L,2023-11-03,2024-07,2024-07,0,180,L3,紧凑型车,95,前置前驱,领克
轩逸 2012款 1.6XE CVT舒适版,17.0,2013-03,宁德,3.6,14.00,自动,国V,1.6L,2023-12-07,2023-3,2023-4,0,126,L4,紧凑型车,92,前置前驱,日产
本田XR-V 2017款 1.8L EXi CVT舒适版,3.5,2019-04,宁德,9.3,16.26,自动,国V,1.8L,2023-12-04,2025-04,2024-04,0,136,L4,小型SUV,92,前置前驱,本田
吉利ICON 2020款 1.5TD i9 BSG,3.5,2020-09,宁德,7.88,13.98,自动,国VI,1.5L,2023-11-26,2024-09,2024-09,0,177,L3,小型SUV,92,前置前驱,吉利汽车
博越 2020款 1.8TD DCT智慧PRO,7.0,2021-04,宁德,7.98,13.76,自动,国VI,1.8L,2023-12-07,2024-4,2024-4,0,184,L4,紧凑型SUV,92,前置前驱,吉利汽车
嘉年华 2010款 三厢 1.5L 自动光芒限定版,10.0,2011-06,宁德,1.78,11.28,自动,国IV,1.5L,2023-12-03,2024-6,2024-6,0,103,L4,小型车,92,前置前驱,福特
领克06 2020款 1.5T 劲Pro,1.6,2020-10,宁德,8.6,13.96,自动,国VI,1.5L,2023-11-01,2024-10,2024-10,0,177,L3,小型SUV,92,前置前驱,领克
丰田C-HR 2020款 2.0L 领先版,4.0,2020-10,宁德,9.68,17.24,自动,国VI,2L,2023-11-25,2024-10,2024-10,4,171,L4,小型SUV,92,前置前驱,丰田
思铂睿 2009款 2.4L 尊贵版,17.0,2010-12,宁德,3.8,27.12,自动,国IV,2.4L,2023-12-07,2023-12,2023-12,0,181,L4,中型车,92,前置前驱,本田
缤越 2019款 260T DCT骑士 国VI,5.3,2019-06,宁德,5.9,10.83,自动,国VI,1.5L,2023-10-09,2025-06,2024-06,0,177,L3,小型SUV,92,前置前驱,吉利汽车
缤越 2019款 运动款 260T DCT Battle 国VI,4.3,2019-03,宁德,6.5,13.00,自动,国VI,1.5L,2023-11-02,2025-03,2024-03,0,177,L3,小型SUV,92,前置前驱,吉利汽车
哈弗F7 2019款 1.5T 两驱i潮 国VI,5.1,2019-11,宁德,7.5,14.87,自动,国VI,1.5L,2023-11-26,2023-11,2023-11,0,169,L4,紧凑型SUV,92,前置前驱,哈弗
飞度 2018款 1.5L CVT舒适版,5.0,2019-05,宁德,5.3,8.88,自动,国V,1.5L,2023-12-06,2025-05,2024-05,0,131,L4,小型车,92,前置前驱,本田
捷豹XF 2015款 XF 2.0T 豪华版,7.5,2014-10,宁德,9.98,66.21,自动,欧V,2L,2023-12-06,2024-10,2024-10,0,240,L4,中大型车,95,前置后驱,捷豹
英朗 2017款 15N 自动精英型,7.0,2017-07,宁德,3.7,13.77,自动,国V,1.5L,2023-12-07,2024-7,2024-7,0,114,L4,紧凑型车,92,前置前驱,别克
英朗 2013款 GT 1.8L 自动时尚版,8.0,2013-05,宁德,1.78,17.94,自动,欧V,1.8L,2023-12-09,2024-05,2024-05,0,147,L4,紧凑型车,92,前置前驱,别克
秦PLUS 2023款 冠军版 DM-i 55KM领先型,0.49,2023-07,宁德,8.98,10.83,自动,插电混动,46km,2023-10-19,2025-07,2024-07,0,110,L4,紧凑型车,,前置前驱,比亚迪
宝马3系 2013款 320Li 风尚设计套装,12.0,2012-10,宁德,7.2,43.96,自动,国IV(国V),2L,2023-12-07,2024-10,2024-10,0,184,L4,中型车,95,前置后驱,宝马
起亚K5 2012款 2.0L 自动GLS,11.0,2014-01,宁德,4.3,19.41,自动,国IV(国V),2L,2023-12-07,2024-1,2024-1,0,162,L4,中型车,92,前置前驱,起亚
博越 2018款 1.8TD 自动两驱智联型4G互联版,4.4,2019-06,宁德,6.8,14.09,自动,国V,1.8L,2023-12-02,2025-06,2024-06,0,184,L4,紧凑型SUV,92,前置前驱,吉利汽车
缤智 2017款 1.8L CVT两驱精英型,6.0,2018-01,宁德,7.98,15.93,自动,国V,1.8L,2023-12-02,2024-1,2024-1,0,136,L4,小型SUV,92,前置前驱,本田
一汽-大众CC 2013款 2.0TSI 豪华型,12.0,2014-01,宁德,6.2,30.81,自动,国V+OBD,2L,2023-12-07,2024-1,2024-1,0,200,L4,中型车,95,前置前驱,大众
RAV4荣放 2013款 2.0L CVT两驱都市版,11.6,2014-05,宁德,6.3,21.04,自动,国IV(国V),2L,2023-12-07,2024-5,2024-5,0,147,L4,紧凑型SUV,92,前置前驱,丰田
MINI 2007款 1.6L COOPER Excitement,13.0,2010-11,宁德,3.98,34.52,自动,欧V,1.6L,2023-12-07,2023-11,2023-11,0,120,L4,小型车,95,前置前驱,MINI
嘉年华 2009款 两厢 1.5L 自动时尚型,13.0,2010-07,宁德,1.6,10.41,自动,国IV,1.5L,2023-12-07,2023-7,2023-7,0,103,L4,小型车,92,前置前驱,福特
雷克萨斯RX经典 2013款 270 典雅版,12.0,2015-02,宁德,15.6,53.84,自动,欧IV,2.7L,2023-12-07,2024-2,2024-2,0,188,L4,中型SUV,92,前置前驱,雷克萨斯
宝马5系 2013款 525Li 豪华型,12.5,2013-02,宁德,10.8,53.69,自动,国IV(国V),2L,2023-12-07,2024-2,2024-2,0,218,L4,中大型车,95,前置后驱,宝马
瑞风M4 2016款 2.0L 手动豪华型,11.8,2016-12,宁德,3.9,13.00,手动,国V,2L,2023-12-07,2023-12,2023-12,0,147,L4,,92,前置后驱,江淮瑞风
绅宝X25 2015款 1.5L 自动精英型,7.0,2016-09,宁德,2.2,7.47,自动,国IV(国V),1.5L,2023-12-07,2023-9,2023-9,0,116,L4,小型SUV,92,前置前驱,北京汽车
宝骏730 2016款 1.5L 手动舒适型 7座 国V,11.0,2016-01,宁德,2.98,7.58,手动,国IV(国V),1.5L,2023-12-03,2024-1,2024-1,0,112,L4,,92,前置前驱,宝骏
