车名,里程数,年份,城市,售价,原价,变速箱,排放标准,排量/续航,发布时间,年检到期,保险到期,过户次数,马力,气缸类型,车辆级别,燃油标号,驱动方式,品牌
奔驰C级新能源 2023款 C 350 eL,2.0,2022-10,莆田,27.8,44.21,自动,插电混动,105km,2023-12-08,2024-10,2024-10,1,204.0,L4,中型车,,前置后驱,奔驰
smart forfour 2018款 1.0L 52千瓦灵动版,5.5,2018-05,莆田,6.2,13.33,自动,国V,1L,2023-11-30,2024-05,2024-05,1,71.0,L3,微型车,95,后置后驱,smart
奔驰GLC 2020款 GLC 300 L 4MATIC 动感型,2.8,2020-01,莆田,33.3,48.61,自动,国VI,2L,2023-12-08,2025-01,2024-01,1,258.0,L4,中型SUV,95,前置四驱,奔驰
奔驰GLE轿跑 2022款 GLE 350 4MATIC 轿跑SUV 豪华型,0.4,2022-09,莆田,59.9,88.39,自动,国VI,2L,2023-12-08,2024-09,2024-09,1,258.0,L4,中大型SUV,95,前置四驱,奔驰
奔驰C级新能源 2023款 C 350 eL,0.7,2022-10,莆田,28.3,44.21,自动,插电混动,105km,2023-12-07,2024-10,2024-10,1,204.0,L4,中型车,,前置后驱,奔驰
奔驰CLA 2023款 CLA 200,0.9,2023-02,莆田,26.5,32.87,自动,国VI,1.3L,2023-12-07,2025-02,2024-02,1,163.0,L4,紧凑型车,95,前置前驱,奔驰
奔驰GLB 2022款 GLB 220 动感型,2.8,2022-09,莆田,24.6,35.92,自动,国VI,2L,2023-10-12,2024-09,2024-09,0,190.0,L4,紧凑型SUV,95,前置前驱,奔驰
奔驰GLC 2022款 改款 GLC 300 L 4MATIC 动感型臻藏版,1.1,2022-10,莆田,36.6,49.05,自动,国VI,2L,2023-12-07,2024-10,2024-10,1,258.0,L4,中型SUV,95,前置四驱,奔驰
奔驰S级 2014款 S 500 L 4MATIC,12.0,2014-09,莆田,45.8,227.73,自动,欧V,4.7L,2023-11-20,2024-09,2024-09,1,435.0,V8,大型车,95,前置四驱,奔驰
奔驰GLC 2021款 GLC 260 L 4MATIC 豪华型,4.1,2021-09,莆田,34.9,46.65,自动,国VI,2L,2023-11-02,2025-09,2024-09,1,197.0,L4,中型SUV,95,前置四驱,奔驰
奔驰GLC 2022款 改款三 GLC 300 L 4MATIC 豪华型,0.9,2023-04,莆田,42.8,51.44,自动,国VI,2L,2023-12-06,2024-4,2024-4,0,258.0,L4,中型SUV,95,前置四驱,奔驰
奔驰S级 2022款 改款 S 450 L 4MATIC,1.8,2023-01,莆田,111.8,138.81,自动,国VI,2.5L,2023-11-01,2025-01,2024-01,0,367.0,L6,大型车,95,前置四驱,奔驰
奔驰C级 2021款 C 260 L 运动星耀臻藏版,6.4,2021-03,莆田,24.5,38.73,自动,国VI,1.5L,2023-11-23,2025-03,2024-03,0,184.0,L4,中型车,95,前置后驱,奔驰
奔驰C级(进口) 2016款 C 200 轿跑版,3.0,2016-12,莆田,18.8,41.55,自动,欧V,2L,2023-08-07,2023-12,2023-12,1,184.0,L4,中型车,95,前置后驱,奔驰
奔驰B级 2020款 B 200 动感型,5.0,2019-11,莆田,13.6,28.20,自动,国VI,1.3L,2023-12-06,2024-11,2024-11,0,163.0,L4,紧凑型车,95,前置前驱,奔驰
奔驰E级 2017款 E 200 L 4MATIC,6.8,2017-09,莆田,24.5,49.91,自动,欧V,2L,2023-09-15,2023-09,2023-09,0,184.0,L4,中大型车,95,前置四驱,奔驰
奔驰G级AMG 2013款 AMG G 63,23.6,2015-03,莆田,79.8,249.44,自动,欧V,5.5L,2023-11-30,2024-03,2024-03,0,544.0,V8,中大型SUV,95,前置四驱,奔驰
奔驰A级 2020款 A 200 L 运动轿车,6.0,2020-03,莆田,16.6,28.74,自动,国VI,1.3L,2023-11-07,2024-03,2024-03,1,163.0,L4,紧凑型车,95,前置前驱,奔驰
奔驰C级 2019款 改款 C 260 L 4MATIC 运动版,7.0,2019-09,莆田,21.0,40.57,自动,国VI,1.5L,2023-12-03,2025-09,2024-09,1,184.0,L4,中型车,95,前置四驱,奔驰
奔驰CLA 2017款 改款 CLA 200 时尚型,12.2,2017-11,莆田,11.5,31.37,自动,欧V,1.6L,2023-12-05,2024-11,2024-11,0,156.0,L4,紧凑型车,95,前置前驱,奔驰
奔驰R级 2014款 R 400 4MATIC 豪华型,11.0,2014-10,莆田,14.6,86.62,自动,欧V,3L,2023-09-09,2024-10,2023-10,0,333.0,V6,,95,前置四驱,奔驰
唯雅诺 2012款 2.5L 领航版,8.0,2012-05,莆田,9.6,57.42,自动,欧IV,2.5L,2023-11-30,2024-05,2024-05,0,190.0,V6,,95,前置后驱,奔驰
奔驰C级 2020款 C 260 L 运动版,4.8,2020-02,莆田,23.9,37.64,自动,国VI,1.5L,2023-11-07,2024-02,2024-02,0,184.0,L4,中型车,95,前置后驱,奔驰
奔驰C级 2021款 C 260 L 运动星耀臻藏版,7.5,2021-06,莆田,22.98,38.73,自动,国VI,1.5L,2023-12-08,2025-06,2024-06,0,184.0,L4,中型车,95,前置后驱,奔驰
奔驰CLS 2008款 CLS 350,7.8,2009-04,莆田,6.8,114.84,自动,欧IV,3.5L,2023-11-24,2022-4,2022-4,0,272.0,V6,中大型车,95,前置后驱,奔驰
奥迪Q7 2021款 45 TFSI quattro S line运动型,4.0,2020-12,莆田,43.9,74.77,自动,国VI,2L,2023-11-16,2024-12,2023-12,0,245.0,L4,中大型SUV,95,前置四驱,奥迪
宝马3系 2021款 320Li M运动套装,3.1,2021-05,莆田,23.8,34.62,自动,国VI,2L,2023-11-16,2025-05,2024-05,0,156.0,L4,中型车,95,前置后驱,宝马
奥迪A3 2020款 改款 Limousine 35 TFSI 进取型 国VI,1.0,2020-09,莆田,11.98,21.62,自动,国VI,1.4L,2023-09-11,2024-09,2023-09,0,150.0,L4,紧凑型车,95,前置前驱,奥迪
奥迪Q5 2017款 40 TFSI 技术型,8.6,2016-12,莆田,14.98,46.41,自动,国V,2L,2023-11-27,2023-12,2023-12,0,230.0,L4,中型SUV,95,前置四驱,奥迪
奥迪Q5 2016款 40 TFSI 豪华型,10.0,2016-05,莆田,14.6,61.55,自动,国V,2L,2023-11-16,2024-05,2024-05,0,224.0,L4,中型SUV,95,前置四驱,奥迪
Panamera 2021款 Panamera 2.9T,2.19,2021-12,莆田,98.0,105.62,自动,国VI,2.9L,2023-10-25,2023-12,2023-12,0,330.0,V6,大型车,95,前置后驱,保时捷
奥迪Q7 2016款 40 TFSI S line运动型,14.7,2017-02,莆田,25.6,85.62,自动,国V,2L,2023-11-02,2024-02,2024-02,6,252.0,L4,中大型SUV,95,前置四驱,奥迪
凯迪拉克CT6 2021款 28T 豪华型,4.5,2021-01,莆田,23.5,46.64,自动,国VI,2L,2023-11-13,2025-1,2024-1,1,237.0,L4,中大型车,95,前置后驱,凯迪拉克
汉 2020款 EV 超长续航版豪华型,2.0,2021-06,莆田,11.8,26.03,自动,纯电动,605km,2023-12-05,2025-06,2024-06,0,222.0,,中大型车,,前置前驱,比亚迪
Panamera 2021款 Panamera 2.9T,1.4,2021-09,莆田,92.8,105.62,自动,国VI,2.9L,2023-08-23,2023-09,2023-09,1,330.0,V6,大型车,95,前置后驱,保时捷
Panamera 2022款 Panamera 2.9T,1.5,2022-05,莆田,103.0,105.62,自动,国VI,2.9L,2023-11-02,2024-05,2024-05,0,330.0,V6,大型车,95,前置后驱,保时捷
