车名,里程数,年份,城市,售价,原价,变速箱,排放标准,排量/续航,发布时间,年检到期,保险到期,过户次数,马力,气缸类型,车辆级别,燃油标号,驱动方式,品牌
奔驰E级 2022款 E 300 L 运动时尚型,4.2,2022-10,泉州,39.8,52.09,自动,国VI,2L,2023-11-27,2024-10,2023-10,0,258,L4,中大型车,95,前置后驱,奔驰
古思特 2021款 6.7T 长轴距版,0.57,2022-07,泉州,489.0,593.75,自动,国VI,6.7L,2023-11-21,2024-07,2024-07,0,571,V12,大型车,95,前置四驱,劳斯莱斯
Panamera 2021款 Panamera 行政加长版 2.9T,2.3,2020-12,泉州,93.8,123.53,自动,国VI,2.9L,2023-11-18,2024-12,2023-12,0,330,V6,大型车,95,前置后驱,保时捷
迈巴赫S级 2021款 S 480 4MATIC,2.4,2021-05,泉州,,,自动,国VI,3L,2023-12-04,2025-05,2024-05,0,367,L6,大型车,95,前置四驱,奔驰
迈巴赫S级 2021款 S 480 4MATIC,1.7,2022-09,泉州,135.8,159.35,自动,国VI,3L,2023-11-22,2024-09,2024-09,0,367,L6,大型车,95,前置四驱,奔驰
飞驰 2017款 4.0T V8 S 标准版,5.2,2020-04,泉州,159.9,323.47,自动,欧VI,4L,2023-11-22,2024-04,2024-04,0,528,V8,大型车,98,前置四驱,宾利
宝马5系 2023款 530Li 领先型 M运动套装,0.6,2023-01,泉州,40.5,51.61,自动,国VI,2L,2023-11-18,2025-01,2024-01,0,245,L4,中大型车,95,前置后驱,宝马
宝马6系 2013款 改款 640i Gran Coupe,13.6,2014-07,泉州,17.98,103.34,自动,欧V,3L,2023-11-02,2024-07,2024-07,2,320,L6,中大型车,95,前置后驱,宝马
迈巴赫S级 2023款 S 480 4MATIC,1.8,2023-01,泉州,143.9,159.35,自动,国VI,3L,2023-11-29,2025-01,2024-01,1,367,L6,大型车,95,前置四驱,奔驰
奔驰E级 2021款 E 300 L 时尚型,3.7,2021-04,泉州,39.98,50.78,自动,国VI,2L,2023-09-22,2025-04,2024-04,1,258,L4,中大型车,95,前置后驱,奔驰
