车名,里程数,年份,城市,售价,原价,变速箱,排放标准,排量/续航,发布时间,年检到期,保险到期,过户次数,马力,气缸类型,车辆级别,燃油标号,驱动方式,品牌
奔驰GLE 2022款 GLE 350 4MATIC 时尚型,1.3,2022-05,三明,59.8,79.87,自动,国VI,2L,2023-12-02,2024-05,2024-05,0,258,L4,中大型SUV,95,前置四驱,奔驰
奔驰E级 2019款 改款 E 300 L 运动豪华型,3.0,2019-08,三明,31.88,53.49,自动,国VI,2L,2023-11-07,2025-08,2024-08,0,258,L4,中大型车,95,前置后驱,奔驰
奔驰GLC 2020款 改款 GLC 260 L 4MATIC 豪华型,5.8,2019-11,三明,28.38,45.89,自动,国VI,2L,2023-11-26,2023-11,2023-11,0,197,L4,中型SUV,95,前置四驱,奔驰
奔驰E级 2019款 E 200 L 运动型,2.7,2020-10,三明,29.8,46.22,自动,国VI,2L,2023-12-03,2024-10,2024-10,0,184,L4,中大型车,95,前置后驱,奔驰
奔驰GLC 2021款 GLC 260 L 4MATIC 动感型,5.0,2020-11,三明,27.88,43.18,自动,国VI,2L,2023-11-07,2024-11,2023-11,0,197,L4,中型SUV,95,前置四驱,奔驰
奔驰C级 2017款 改款 C 200 运动版,7.0,2017-08,三明,15.98,34.17,自动,欧V,2L,2023-10-21,2024-08,2024-08,0,184,L4,中型车,95,前置后驱,奔驰
奔驰E级 2018款 E 200 运动型,6.8,2018-10,三明,25.3,45.57,自动,欧V,2L,2023-11-08,2024-10,2024-10,0,184,L4,中大型车,95,前置后驱,奔驰
奔驰C级 2020款 C 260 L 运动版,2.2,2020-12,三明,23.68,37.64,自动,国VI,1.5L,2023-10-30,2024-12,2023-12,0,184,L4,中型车,95,前置后驱,奔驰
奔驰GLC轿跑 2020款 GLC 260 4MATIC 轿跑SUV,4.1,2020-11,三明,28.9,49.80,自动,国VI,2L,2023-11-29,2024-11,2023-11,0,197,L4,中型SUV,95,前置四驱,奔驰
奔驰GLB 2020款 改款 GLB 200 动感型,5.1,2020-09,三明,18.88,34.60,自动,国VI,1.3L,2023-11-07,2024-09,2023-09,0,163,L4,紧凑型SUV,95,前置前驱,奔驰
奔驰E级 2021款 E 300 L 时尚型,5.5,2021-01,三明,39.3,50.78,自动,国VI,2L,2023-10-22,2025-01,2024-01,0,258,L4,中大型车,95,前置后驱,奔驰
奔驰C级 2020款 C 260 L 运动版,6.3,2020-05,三明,21.88,37.64,自动,国VI,1.5L,2023-11-08,2024-05,2024-05,0,184,L4,中型车,95,前置后驱,奔驰
奔驰C级 2020款 C 260 运动版,4.4,2020-01,三明,20.88,33.74,自动,国VI,1.5L,2023-11-07,2024-01,2024-01,0,184,L4,中型车,95,前置后驱,奔驰
奥迪A7 2021款 40 TFSI 豪华型,3.3,2021-11,三明,42.9,62.28,自动,国VI,2L,2023-11-16,2023-11,2023-11,0,190,L4,中大型车,95,前置前驱,奥迪
奔驰C级 2018款 C 200 L 运动版 成就特别版,3.0,2018-06,三明,20.98,38.40,自动,欧V,2L,2023-10-25,2024-06,2024-06,1,184,L4,中型车,95,前置后驱,奔驰
奥迪Q7 2021款 45 TFSI quattro S line运动型,0.54,2021-07,三明,47.8,74.77,自动,国VI,2L,2023-11-07,2023-07,2023-07,0,245,L4,中大型SUV,95,前置四驱,奥迪
