车名,里程数,年份,城市,售价,原价,变速箱,排放标准,排量/续航,发布时间,年检到期,保险到期,过户次数,马力,气缸类型,车辆级别,燃油标号,驱动方式,品牌
英仕派 2022款 锐・混动 2.0L 净智版,1.6,2022-01,漳州,15.5,21.70,自动,国VI,2L,2023-12-01,2024-01,2024-01,0,146,L4,中型车,92,前置前驱,本田
马自达3 昂克赛拉 2021款 1.5L 自动质美版,3.0,2021-09,漳州,8.8,13.77,自动,国VI,1.5L,2023-11-05,2025-09,2024-09,0,117,L4,紧凑型车,92,前置前驱,马自达
马自达3 昂克赛拉 2020款 2.0L 自动质雅版,5.5,2020-07,漳州,9.98,15.51,自动,国VI,2L,2023-10-24,2024-07,2024-07,0,158,L4,紧凑型车,92,前置前驱,马自达
迈巴赫S级 2020款 S 450 4MATIC 典藏版,3.1,2021-01,漳州,119.8,158.35,自动,国VI,3L,2023-11-07,2025-1,2023-11,2,367,L6,大型车,95,前置四驱,奔驰
奔驰A级AMG 2022款 AMG A 35 L 4MATIC,3.4,2022-09,漳州,31.6,42.89,自动,国VI,2L,2023-09-30,2024-09,2023-09,0,306,L4,紧凑型车,95,前置四驱,奔驰
奔驰GLC 2022款 GLC 260 L 4MATIC 动感型,0.48,2022-09,漳州,34.68,43.40,自动,国VI,2L,2023-09-19,2024-09,2023-09,0,197,L4,中型SUV,95,前置四驱,奔驰
奔驰GLC 2021款 GLC 260 L 4MATIC 豪华型,5.3,2021-03,漳州,34.68,46.65,自动,国VI,2L,2023-11-04,2025-03,2024-03,0,197,L4,中型SUV,95,前置四驱,奔驰
奔驰S级 2018款 S 320 L,12.8,2018-08,漳州,51.8,95.17,自动,欧V,3L,2023-10-25,2024-08,2024-08,3,272,V6,大型车,95,前置后驱,奔驰
奔驰GLC 2021款 GLC 260 L 4MATIC 动感型,4.64,2021-05,漳州,32.98,43.18,自动,国VI,2L,2023-09-23,2025-05,2024-05,0,197,L4,中型SUV,95,前置四驱,奔驰
奔驰E级 2021款 E 300 L 豪华型,4.4,2021-04,漳州,41.98,54.03,自动,国VI,2L,2023-10-05,2025-04,2024-04,0,258,L4,中大型车,95,前置后驱,奔驰
奔驰S级 2020款 S 450 L 4MATIC 臻藏版,3.3,2021-04,漳州,89.8,130.45,自动,国VI,3L,2023-11-07,2025-4,2024-5,2,367,L6,大型车,95,前置四驱,奔驰
奔驰GLC轿跑 2017款 GLC 200 4MATIC 轿跑SUV,10.5,2017-08,漳州,21.98,53.84,自动,欧V,2L,2023-10-14,2023-08,2023-08,0,184,L4,中型SUV,95,前置四驱,奔驰
奔驰E级 2021款 改款 E 300 L 尊贵型,5.86,2021-05,漳州,44.5,61.10,自动,国VI,2L,2023-11-09,2025-05,2024-05,1,258,L4,中大型车,95,前置后驱,奔驰
奔驰GLC 2016款 GLC 260 4MATIC 豪华型,9.0,2016-06,漳州,20.88,48.09,自动,欧V,2L,2023-12-02,2024-06,2024-06,0,211,L4,中型SUV,95,前置四驱,奔驰
奔驰CLA 2018款 CLA 200 动感型,3.6,2019-03,漳州,14.98,27.87,自动,欧V,1.6L,2023-11-02,2025-03,2024-03,0,156,L4,紧凑型车,95,前置前驱,奔驰
奔驰GLC 2021款 GLC 260 L 4MATIC 豪华型,4.3,2021-05,漳州,33.8,46.65,自动,国VI,2L,2023-11-16,2025-05,2024-05,0,197,L4,中型SUV,95,前置四驱,奔驰
奔驰E级 2015款 改款 E 260 L 运动型,6.9,2016-05,漳州,16.68,50.80,自动,欧V,2L,2023-11-15,2024-05,2024-05,0,211,L4,中大型车,95,前置后驱,奔驰
奔驰GLC 2016款 GLC 260 4MATIC 动感型,9.5,2016-04,漳州,20.88,46.46,自动,欧V,2L,2023-11-22,2024-04,2024-04,0,211,L4,中型SUV,95,前置四驱,奔驰
奔驰C级 2021款 C 260 星耀臻藏版,3.6,2021-06,漳州,22.98,34.60,自动,国VI,1.5L,2023-11-28,2025-06,2024-06,1,184,L4,中型车,95,前置后驱,奔驰
奔驰GLA 2020款 GLA 200,5.9,2021-02,漳州,18.98,32.98,自动,国VI,1.3L,2023-11-08,2025-02,2024-02,0,163,L4,紧凑型SUV,95,前置前驱,奔驰
奔驰GLC 2018款 GLC 300 4MATIC 动感型,8.2,2017-12,漳州,23.88,53.41,自动,欧V,2L,2023-11-24,2023-12,2023-12,1,245,L4,中型SUV,95,前置四驱,奔驰
奔驰V级 2016款 V 260 L 尊贵加长版,9.0,2017-07,漳州,25.8,67.08,自动,国V,2L,2023-11-21,2024-07,2024-07,1,211,L4,,95,前置后驱,奔驰
奔驰GLA 2018款 GLA 200 动感型,3.1,2019-01,漳州,14.98,29.29,自动,国V,1.6L,2023-12-03,2025-01,2024-01,0,156,L4,紧凑型SUV,95,前置前驱,奔驰
奔驰GLA 2018款 GLA 200 时尚型,2.7,2019-01,漳州,15.88,31.35,自动,国V,1.6L,2023-11-14,2025-01,2024-01,0,156,L4,紧凑型SUV,95,前置前驱,奔驰
奔驰GLC 2021款 GLC 260 L 4MATIC 豪华型,6.2,2021-01,漳州,32.68,46.65,自动,国VI,2L,2023-11-16,2025-01,2024-01,0,197,L4,中型SUV,95,前置四驱,奔驰
奔驰GLK级 2013款 GLK 300 4MATIC 时尚型,8.0,2013-01,漳州,9.28,52.65,自动,欧V,3L,2023-08-24,2024-01,2024-01,0,245,V6,中型SUV,95,前置四驱,奔驰
奔驰R级 2011款 R 300 L 商务型,17.0,2013-11,漳州,10.87,64.91,自动,欧IV,3L,2023-12-09,2024-11,2024-11,0,245,V6,,95,前置后驱,奔驰
奔驰GLE 2019款 GLE 320 4MATIC 动感型臻藏版,4.8,2019-02,漳州,42.98,76.18,自动,欧V,3L,2023-11-24,2025-02,2024-02,1,272,V6,中大型SUV,95,前置四驱,奔驰
奔驰C级 2018款 C 180 L 时尚型运动版,6.3,2017-12,漳州,15.9,35.15,自动,欧V,1.6L,2023-12-02,2023-12,2023-12,0,156,L4,中型车,95,前置后驱,奔驰
马自达3 2006款 2.0L 自动标准型,20.0,2008-12,漳州,1.98,15.72,自动,国IV,2L,2023-12-01,2024-06,2023-12,3,150,L4,紧凑型车,92,前置前驱,马自达
奔驰E级 2019款 E 300 L 豪华型,10.8,2019-01,漳州,32.8,53.49,自动,国VI,2L,2023-09-24,2025-01,2024-01,0,245,L4,中大型车,95,前置后驱,奔驰
奔驰GLA 2019款 GLA 200 动感型,7.2,2019-10,漳州,14.58,28.74,自动,国VI,1.6L,2023-12-01,2025-10,2024-10,1,156,L4,紧凑型SUV,95,前置前驱,奔驰
奔驰E级 2016款 E 200 L,9.0,2017-06,漳州,26.8,47.41,自动,欧V,2L,2023-10-23,2024-06,2024-06,0,184,L4,中大型车,95,前置后驱,奔驰
