保时捷911 2022款 Carrera 3.0T,0.95,2021-05,福州,108.00,138.72,自动,国VI,3L,2023-11-28,2025-05,2024-05,2,385,H6,跑车,95,后置后驱,保时捷
保时捷718 2022款 Boxster 2.0T,0.4,2023-08,福州,65.60,63.50,自动,国VI,2L,2023-11-20,2025-08,2024-08,0,250,H4,跑车,95,中置后驱,保时捷
Panamera 2023款 Panamera 4S 2.9T,0.1,2023-10,福州,128.80,147.95,自动,国VI,2.9L,2023-11-13,2025-10,2024-10,1,441,V6,大型车,95,前置四驱,保时捷
Panamera新能源 2023款 Panamera 4 E-Hybrid 2.9T,0.4,2023-06,福州,119.80,129.50,自动,插电混动,44km,2023-09-26,2025-06,2024-06,0,330,V6,大型车,前置四驱,"
            ",保时捷
Macan 2018款 Macan 2.0T,4.5,2019-10,福州,37.80,59.16,自动,国VI,2L,2023-09-25,2023-10,2023-10,2,252,L4,中型SUV,95,前置四驱,保时捷
奔驰GLB 2022款 改款二 GLB 200 时尚型,0.8,2022-05,泉州,22.80,33.75,自动,国VI,1.3L,2023-12-01,2024-05,2024-05,1,163,L4,紧凑型SUV,95,前置前驱,奔驰
奔驰GLB 2022款 GLB 200 时尚型,1.1,2022-04,泉州,22.80,35.69,自动,国VI,1.3L,2023-12-01,2024-04,2024-04,1,163,L4,紧凑型SUV,95,前置前驱,奔驰
奔驰GLB 2022款 GLB 200 时尚型,0.87,2022-04,泉州,22.80,35.69,自动,国VI,1.3L,2023-12-01,2024-04,2024-04,1,163,L4,紧凑型SUV,95,前置前驱,奔驰
宝马X3 2021款 改款 xDrive28i M运动套装,1.45,2021-08,厦门,32.45,46.22,自动,国VI,2L,2023-09-25,2025-8,2024-8,0,224,L4,中型SUV,95,前置四驱,宝马
奔驰GLC 2020款 GLC 300 L 4MATIC 动感型,5.78,2019-10,厦门,31.83,48.61,自动,国VI,2L,2023-09-18,2023-10,2023-9,2,258,L4,中型SUV,95,前置四驱,奔驰
奔驰GLC 2020款 GLC 300 L 4MATIC 动感型,2.8,2020-01,莆田,33.30,48.61,自动,国VI,2L,2023-12-08,2025-01,2024-01,1,258,L4,中型SUV,95,前置四驱,奔驰
smart forfour 2018款 1.0L 52千瓦灵动版,5.5,2018-05,莆田,6.20,13.33,自动,国V,1L,2023-11-30,2024-05,2024-05,1,71,L3,微型车,95,后置后驱,smart
马自达3 昂克赛拉 2021款 2.0L 自动质炫版,2.49,2021-10,福州,9.08,15.19,自动,国VI,2L,2023-11-12,2024-10,2024-10,0,158,L4,紧凑型车,92,前置前驱,马自达
亚洲龙 2022款 2.0L 豪华版,0.01,2023-06,福州,18.18,23.64,自动,国VI,2L,2023-10-10,2025-6,2024-6,0,178,L4,中型车,92,前置前驱,丰田
奔驰A级(进口) 2019款 A 200 时尚型,3.27,2020-10,福州,16.36,29.72,自动,国VI,1.3L,2023-09-15,2024-10,2023-10,0,163,L4,紧凑型车,95,前置前驱,奔驰
雷克萨斯RX 2016款 300 两驱精英版 国V,9,2017-12,泉州,21.80,42.33,自动,国V,2L,2023-08-13,2023-12,2023-12,1,238,L4,中大型SUV,95,前置前驱,雷克萨斯
奔驰CLA 2016款 CLA 200 时尚型,3.4,2017-04,厦门,13.80,31.04,自动,欧V,1.6L,2023-12-04,2024-04,2024-04,1,156,L4,紧凑型车,95,前置前驱,奔驰
奔驰GLC 2022款 改款 GLC 300 L 4MATIC 动感型臻藏版,1.1,2022-10,莆田,36.60,49.05,自动,国VI,2L,2023-12-07,2024-10,2024-10,1,258,L4,中型SUV,95,前置四驱,奔驰
奔驰GLE轿跑 2022款 GLE 350 4MATIC 轿跑SUV 豪华型,0.4,2022-09,莆田,59.90,88.39,自动,国VI,2L,2023-12-08,2024-09,2024-09,1,258,L4,中大型SUV,95,前置四驱,奔驰
奔驰C级新能源 2023款 C 350 eL,0.7,2022-10,莆田,28.30,44.21,自动,插电混动,105km,2023-12-07,2024-10,2024-10,1,204,L4,中型车,前置后驱,"
            ",奔驰
阿斯顿・马丁DBX 2023款 4.0T V8 707,0.5,2023-01,厦门,388.00,352.56,自动,国VI,4L,2023-12-05,2025-1,2024-1,0,707,V8,中大型SUV,95,前置四驱,阿斯顿・马丁
揽胜极光 2020款 249PS R-DYNAMIC S 运动版,1.6,2021-03,福州,21.50,40.79,自动,国VI,2L,2023-12-08,2025-03,2024-03,0,249,L4,中型SUV,95,前置四驱,路虎
奔驰C级新能源 2023款 C 350 eL,2,2022-10,莆田,27.80,44.21,自动,插电混动,105km,2023-12-08,2024-10,2024-10,1,204,L4,中型车,前置后驱,"
            ",奔驰
宝马X5(进口) 2019款 xDrive40i 尊享型 M运动套装,1.8,2019-08,泉州,56.00,92.25,自动,国VI,3L,2023-11-28,2025-08,2024-08,0,340,L6,中大型SUV,95,前置四驱,宝马
保时捷718 2018款 Boxster 2.0T,3.5,2019-04,泉州,46.90,61.33,自动,欧V,2L,2023-11-22,2025-04,2024-04,0,250,H4,跑车,95,中置后驱,保时捷
添越 2018款 4.0T V8,4.59,2020-03,泉州,186.00,291.99,自动,欧VI,4L,2023-11-22,2024-03,2024-03,0,550,V8,中大型SUV,95,前置四驱,宾利
宝马7系 2019款 改款 740Li xDrive 行政型 豪华套装,4,2020-07,泉州,68.40,130.04,自动,国VI,3L,2023-12-02,2024-07,2024-07,0,340,L6,大型车,95,前置四驱,宝马
凯迪拉克XTS 2018款 28T 技术型,9,2019-01,泉州,14.50,32.55,自动,国V,2L,2023-11-30,2025-01,2024-01,1,269,L4,中大型车,95,前置前驱,凯迪拉克
奔驰GLE 2022款 GLE 350 4MATIC 时尚型,2.3,2022-05,泉州,59.90,79.87,自动,国VI,2L,2023-12-02,2024-05,2024-05,0,258,L4,中大型SUV,95,前置四驱,奔驰
揽胜运动版 2023款 400PS Dynamic SE,0.3,2023-01,泉州,85.60,115.93,自动,国VI,3L,2023-11-25,2025-01,2024-01,0,400,L6,中大型SUV,95,前置四驱,路虎
途昂 2022款 380TSI 四驱尊崇豪华版,0.6,2022-07,泉州,27.80,37.45,自动,国VI,2L,2023-11-23,2024-07,2024-07,0,220,L4,中大型SUV,95,前置四驱,大众
奥迪A8 2022款 A8L Horch创始人版 经典型,1.2,2022-09,泉州,,已降1000元,自动,国VI,3L,2023-11-22,2024-09,2024-09,0,340,V6,大型车,95,前置四驱,奥迪
奔驰S级 2021款 S 450 L 4MATIC,2.29,2022-02,泉州,98.30,136.64,自动,国VI,3L,2023-12-04,2024-02,2024-02,0,367,L6,大型车,95,前置四驱,奔驰
宝马7系 2021款 740Li xDrive 行政型 豪华套装,4.2,2021-01,泉州,,已降1000元,自动,国VI,3L,2023-11-28,2025-01,2024-01,1,340,L6,大型车,95,前置四驱,宝马
Panamera 2016款 Panamera Edition 3.0T,8.1,2016-09,泉州,43.80,130.37,自动,欧V,3L,2023-11-14,2024-09,2024-09,0,320,V6,大型车,95,前置后驱,保时捷
宝马5系 2021款 530Li 尊享型 豪华套装,6.4,2021-06,泉州,38.80,55.02,自动,国VI,2L,2023-11-13,2025-06,2024-06,0,252,L4,中大型车,95,前置后驱,宝马
奔驰GLE 2020款 改款 GLE 350 4MATIC 时尚型,7.2,2020-07,泉州,52.80,79.00,自动,国VI,2L,2023-11-08,2024-07,2024-07,1,258,L4,中大型SUV,95,前置四驱,奔驰
奔驰G级 2017款 G 350 d,1.7,2018-04,泉州,103.90,133.38,自动,欧V,3L,2023-11-22,2024-04,2024-04,0,245,V6,中大型SUV,0,前置四驱,奔驰
迈巴赫S级 2021款 S 480 4MATIC,1.7,2022-09,泉州,135.80,159.35,自动,国VI,3L,2023-11-22,2024-09,2024-09,0,367,L6,大型车,95,前置四驱,奔驰
Panamera 2021款 Panamera 2.9T,2.1,2021-09,泉州,89.80,105.62,自动,国VI,2.9L,2023-11-22,2025-09,2024-09,0,330,V6,大型车,95,前置后驱,保时捷
埃尔法 2021款 双擎 2.5L 豪华版,1.9,2022-05,泉州,82.70,91.07,自动,国VI,2.5L,2023-11-22,2024-05,2024-05,0,117,L4,,92,前置四驱,丰田
路虎卫士 2022款 90 2.0T P300 X-DYNAMIC HSE,0.8,2022-05,泉州,59.90,81.19,自动,国VI,2L,2023-11-22,2024-05,2024-05,0,300,L4,中大型SUV,95,前置四驱,路虎
路虎卫士 2022款 90 2.0T P300 虎威雄心版,0.65,2022-03,泉州,59.90,85.54,自动,国VI,2L,2023-11-22,2024-03,2024-03,0,300,L4,中大型SUV,95,前置四驱,路虎
奔驰S级 2020款 S 450 L 4MATIC 臻藏版,2.7,2021-01,泉州,85.90,130.45,自动,国VI,3L,2023-11-03,2025-01,2024-01,0,367,L6,大型车,95,前置四驱,奔驰
亚洲龙 2021款 2.5L 豪华版,3.4,2021-11,泉州,16.98,24.62,自动,国VI,2.5L,2023-11-06,2023-11,2023-11,1,209,L4,中型车,92,前置前驱,丰田
揽胜极光 2020款 249PS R-DYNAMIC SE 运动科技版,2,2021-01,泉州,23.58,45.35,自动,国VI,2L,2023-12-04,2025-01,2024-01,0,249,L4,中型SUV,95,前置四驱,路虎
捷豹XFL 2018款 XFL 2.0T 250PS 豪华版,8.9,2018-09,泉州,17.30,49.37,自动,国V,2L,2023-11-20,2024-09,2024-09,1,250,L4,中大型车,95,前置后驱,捷豹
揽胜极光 2020款 249PS R-DYNAMIC S 运动版,3.6,2021-02,泉州,21.98,40.79,自动,国VI,2L,2023-11-02,2025-02,2024-02,1,249,L4,中型SUV,95,前置四驱,路虎
