车名,里程数,年份,城市,售价,原价,变速箱,排放标准,排量/续航,发布时间,年检到期,保险到期,过户次数,马力,气缸类型,车辆级别,燃油标号,驱动方式,品牌
迈巴赫S级 2021款 S 480 4MATIC,3.7,2021-12,福州,135.80,159.35,自动,国VI,3L,2023-11-13,2023-12,2023-12,1,367,L6,大型车,95,前置四驱,奔驰
奔驰GLS 2022款 改款二 GLS 450 4MATIC 时尚型,1.9,2022-08,福州,106.88,129.82,自动,国VI,3L,2023-11-08,2024-08,2024-08,0,367,L6,大型SUV,95,前置四驱,奔驰
奔驰GLE 2022款 GLE 350 4MATIC 时尚型,1.8,2022-05,福州,63.80,79.87,自动,国VI,2L,2023-12-07,2024-05,2024-05,0,258,L4,中大型SUV,95,前置四驱,奔驰
迈巴赫S级 2021款 S 480 4MATIC,2.8,2022-02,福州,143.00,159.35,自动,国VI,3L,2023-11-16,2024-02,2024-02,1,367,L6,大型车,95,前置四驱,奔驰
马自达3 昂克赛拉 2021款 2.0L 自动质炫版,2.49,2021-10,福州,9.08,15.19,自动,国VI,2L,2023-11-12,2024-10,2024-10,0,158,L4,紧凑型车,92,前置前驱,马自达
奔驰GLE新能源 2022款 GLE 350 e 4MATIC,1.5,2021-12,福州,60.80,89.27,自动,插电混动,88km,2023-11-02,2023-12,2023-12,1,211,L4,中大型SUV,前置四驱,"
            ",奔驰
奔驰E级 2019款 改款 E 300 L 运动时尚型,6,2019-06,福州,32.50,50.56,自动,国VI,2L,2023-11-21,2025-06,2024-06,0,258,L4,中大型车,95,前置后驱,奔驰
奔驰GLE 2020款 改款 GLE 450 4MATIC 动感型,7.7,2020-06,福州,59.98,90.62,自动,国VI,3L,2023-11-25,2024-06,2024-06,0,367,L6,中大型SUV,95,前置四驱,奔驰
马自达3 昂克赛拉 2017款 三厢 1.5L 自动豪华型 国V,9,2017-09,福州,6.68,15.19,自动,国V,1.5L,2023-09-18,2023-09,2023-09,0,117,L4,紧凑型车,92,前置前驱,马自达
马自达3 昂克赛拉 2022款 2.0L 自动质雅版,1.62,2022-01,福州,10.28,15.51,自动,国VI,2L,2023-12-05,2024-1,2024-1,0,158,L4,紧凑型车,92,前置前驱,马自达
