车名,里程数,年份,城市,售价,原价,变速箱,排放标准,排量/续航,发布时间,年检到期,保险到期,过户次数,马力,气缸类型,车辆级别,燃油标号,驱动方式,品牌
奔驰C级 2023款 C 260 L 运动版,2,2022-07,厦门,29.80,38.37,自动,国VI,1.5L,2023-11-26,2024-07,2024-07,1,204,L4,中型车,95,前置后驱,奔驰
威霆 2023款 2.0T 精英版 7座,0.01,未上牌,西安,38.68,31.89,自动,国VI,2L,2023-11-27,已过期,已过期,0,211,L4,,95,前置后驱,奔驰
奔驰A级AMG 2020款 AMG A 35 L 4MATIC,3.4,2021-02,厦门,26.80,43.40,自动,国VI,2L,2023-12-02,2025-02,2024-02,0,306,L4,紧凑型车,95,前置四驱,奔驰
马自达3 昂克赛拉 2016款 三厢 1.5L 自动豪华型,8,2016-04,南平,3.90,15.08,自动,国IV(国V),1.5L,2023-10-23,2024-04,2024-04,1,117,L4,紧凑型车,92,前置前驱,马自达
威霆 2023款 2.0T 商务版 7座,0.01,2023-11,厦门,47.88,38.51,自动,国VI,2L,2023-11-27,2025-11,2023-11,0,211,L4,,95,前置后驱,奔驰
宝马X3 2021款 xDrive28i M运动套装,2.3,2021-05,福州,29.50,46.22,自动,国VI,2L,2023-10-20,2025-05,2024-05,0,224,L4,中型SUV,95,前置四驱,宝马
奥迪Q5L 2020款 45 TFSI 尊享风雅型,4,2020-06,福州,26.38,51.56,自动,国VI,2L,2023-12-05,2024-06,2024-06,0,252,L4,中型SUV,95,前置四驱,奥迪
奥迪Q7 2018款 45 TFSI S line运动型,12.5,2019-02,厦门,33.90,91.72,自动,国V,3L,2023-11-26,2025-02,2024-02,1,333,V6,中大型SUV,95,前置四驱,奥迪
奔驰GLE 2020款 GLE 450 4MATIC 时尚型,4,2020-08,福州,65.80,91.59,自动,国VI,3L,2023-11-20,2024-08,2024-08,0,367,L6,中大型SUV,95,前置四驱,奔驰
Panamera 2019款 Panamera 2.9T,3.3,2020-07,厦门,86.80,105.62,自动,国VI,2.9L,2023-09-02,2024-07,2023-07,1,330,V6,大型车,95,前置后驱,保时捷
飞驰 2012款 6.0T 限量版,15,2012-02,泉州,,已降3000元,自动,欧IV,6L,2023-06-21,2024-02,2024-02,2,560,W12,大型车,95,前置四驱,宾利
宝马M4 2014款 M4敞篷轿跑车,5.7,2017-09,厦门,45.80,119.18,自动,欧VI,3L,2023-11-13,2024-09,2024-09,1,431,L6,中型车,95,前置后驱,宝马
奔驰C级 2022款 改款 C 260 L 运动版,4,2021-12,南平,27.30,37.93,自动,国VI,1.5L,2023-11-18,2023-12,2023-12,0,204,L4,中型车,95,前置后驱,奔驰
奔驰E级 2014款 改款 E 260 L 运动型,14,2014-04,南平,12.80,48.30,自动,欧IV,1.8L,2023-11-18,2024-04,2024-04,3,204,L4,中大型车,95,前置后驱,奔驰
宝马X7 2020款 xDrive40i 尊享型豪华套装,5.4,2020-03,厦门,69.80,118.10,自动,国VI,3L,2023-08-03,2024-03,2024-03,1,340,L6,大型SUV,95,前置四驱,宝马
宝马6系 2013款 改款 640i Gran Coupe,13.6,2014-07,泉州,17.98,103.34,自动,欧V,3L,2023-11-02,2024-07,2024-07,2,320,L6,中大型车,95,前置后驱,宝马
奥迪A7 2020款 45 TFSI 臻选型,4.8,2020-10,龙岩,43.88,66.52,自动,国VI,2L,2023-11-25,2024-10,2024-10,2,245,L4,中大型车,95,前置前驱,奥迪
科鲁泽 2021款 320 自动悦享天窗版,3,2021-11,南平,3.80,12.47,自动,国VI,1.5L,2023-10-17,2023-11,2023-11,0,113,L4,紧凑型车,92,前置前驱,雪佛兰
奔腾B50 2013款 1.6L 手动舒适型,9.8,2014-01,南平,0.75,10.07,手动,国IV,1.6L,2023-11-05,2024-01,2024-01,2,103,L4,紧凑型车,92,前置前驱,奔腾
福克斯 2009款 两厢 1.8L 自动时尚型,9.8,2009-12,南平,1.22,14.64,自动,国IV,1.8L,2023-11-01,2023-12,2023-12,1,124,L4,紧凑型车,92,前置前驱,福特
思域 2019款 220TURBO CVT燃动版 国V,2,2020-07,南平,7.50,15.84,自动,国V,1.5L,2023-10-17,2024-07,2024-07,0,177,L4,紧凑型车,92,前置前驱,本田
宝来 2008款 1.6L 手动时尚型,9.8,2010-06,南平,0.96,11.70,手动,国IV+OBD,1.6L,2023-11-21,2024-06,2024-06,1,100,L4,紧凑型车,92,前置前驱,大众
凯越 2011款 1.6LX-MT,9.5,2011-12,南平,1.02,10.84,手动,欧IV,1.6L,2023-10-30,2023-12,2023-12,1,110,L4,紧凑型车,92,前置前驱,别克
翼神 2012款 致炫版 2.0L 手动豪华型,9,2012-10,南平,4.66,16.15,手动,国IV,2L,2023-05-05,2023-10,2023-10,0,152,L4,紧凑型车,92,前置前驱,三菱
英朗 2019款 18T 自动互联精英型 国VI,3.9,2020-02,南平,3.77,14.75,自动,国VI,1.3L,2023-10-28,2024-02,2024-02,1,163,L3,紧凑型车,92,前置前驱,别克
风骏7 2021款 2.0T柴油两驱领航型大双GW4D20M,5,2021-10,南平,5.80,11.92,手动,国VI,2L,2023-09-04,2023-10,2023-10,1,156,L4,皮卡,0,前置后驱,长城
翼神 2013款 致尚版 1.8L 手动豪华型,9,2013-04,南平,3.99,13.76,手动,国IV,1.8L,2023-07-11,2024-04,2024-04,0,136,L4,紧凑型车,92,前置前驱,三菱
翼神 2012款 致尚版 1.8L 手动豪华型,10,2012-01,南平,3.68,13.66,手动,国IV,1.8L,2023-11-21,2024-01,2024-01,0,136,L4,紧凑型车,92,前置前驱,三菱
朗逸 2015款 1.6L 手动风尚版,7.6,2017-06,南平,3.09,11.93,手动,国IV(国V),1.6L,2023-10-29,2024-06,2024-06,1,110,L4,紧凑型车,92,前置前驱,大众
翼神 2012款 致尚版 1.8L 手动豪华型,9,2012-02,南平,3.76,13.66,手动,国IV,1.8L,2023-09-13,2024-02,2024-02,0,136,L4,紧凑型车,92,前置前驱,三菱
翼神 2012款 致尚版 1.8L 手动豪华型,10.6,2012-07,南平,3.76,13.66,手动,国IV,1.8L,2023-07-26,2023-07,2023-07,0,136,L4,紧凑型车,92,前置前驱,三菱
哈弗H6 2014款 运动版 1.5T 手动两驱精英型,9,2014-10,南平,1.90,13.98,手动,国IV(国V),1.5L,2023-10-17,2023-10,2023-10,1,150,L4,紧凑型SUV,92,前置前驱,哈弗
朗逸 2013款 改款经典 1.6L 自动风尚版,7.3,2017-10,南平,3.37,13.56,自动,国IV(国V),1.6L,2023-10-30,2023-10,2023-10,1,110,L4,紧凑型车,92,前置前驱,大众
瑞纳 2014款 1.4L 自动智能型GLS,9.5,2015-12,南平,2.37,9.43,自动,国IV(国V),1.4L,2023-10-27,2023-12,2023-12,1,107,L4,小型车,92,前置前驱,现代
科鲁兹 2015款 1.5L 经典 SL MT,9,2015-06,南平,1.90,9.76,手动,国IV(国V),1.5L,2023-11-10,2024-06,2024-06,0,113,L4,紧凑型车,92,前置前驱,雪佛兰
索纳塔 2013款 2.0L 自动时尚版,9.3,2013-03,南平,2.73,18.12,自动,国IV(国V),2L,2023-10-30,2024-03,2024-03,1,162,L4,中型车,92,前置前驱,现代
哈弗M6 2019款 1.5T DCT两驱精英型 国VI,4.2,2020-03,南平,3.87,8.90,自动,国VI,1.5L,2023-11-01,2024-03,2024-03,1,150,L4,紧凑型SUV,92,前置前驱,哈弗
起亚K2 2012款 三厢 1.4L MT GLS纪念版,9,2013-11,南平,1.38,8.46,手动,国IV(国V),1.4L,2023-10-23,2023-11,2023-11,1,107,L4,小型车,92,前置前驱,起亚
悦动 2008款 1.6L MT GLS,11,2009-05,南平,0.88,11.92,手动,国IV,1.6L,2023-11-21,2024-05,2024-05,1,112,L4,紧凑型车,92,前置前驱,现代
朗动 2015款 1.6L 自动领先型,9,2015-01,南平,3.30,13.87,自动,国IV(国V),1.6L,2023-06-25,2024-01,2024-01,1,128,L4,紧凑型车,92,前置前驱,现代
朗动 2012款 1.6L 手动领先型,9,2013-10,南平,2.00,12.57,手动,国IV(国V),1.6L,2023-10-17,2023-10,2023-10,1,128,L4,紧凑型车,92,前置前驱,现代
翼神 2012款 1.8L 手动魅力版,10,2012-02,南平,3.60,12.68,手动,国IV,1.8L,2023-11-21,2024-02,2024-02,0,136,L4,紧凑型车,92,前置前驱,三菱
哈弗H6 Coupe 2019款 1.5T 自动两驱精英型 国VI,5,2019-11,南平,4.38,11.40,自动,国VI,1.5L,2023-10-17,2023-11,2023-11,0,169,L4,紧凑型SUV,92,前置前驱,哈弗
阳光 2014款 1.5XE 手动精英版,9,2015-06,南平,1.60,8.99,手动,国IV(国V),1.5L,2023-10-17,2023-06,2023-06,0,112,L4,紧凑型车,92,前置前驱,日产
奥迪A4L 2012款 2.0 TFSI 自动舒适型,13,2013-01,南平,5.88,35.81,自动,国IV+OBD,2L,2023-12-02,2024-1,2024-1,0,180,L4,中型车,95,前置前驱,奥迪
朗动 2012款 1.6L 手动领先型,10,2012-12,南平,2.20,12.57,手动,国IV(国V),1.6L,2023-10-17,2023-12,2023-12,1,128,L4,紧凑型车,92,前置前驱,现代
福克斯 2012款 两厢 1.6L 自动舒适型,9,2015-08,南平,2.70,14.21,自动,国IV,1.6L,2023-10-17,2023-08,2023-08,0,125,L4,紧凑型车,92,前置前驱,福特
福克斯 2009款 三厢 1.8L 手动舒适型,9.8,2010-01,南平,0.98,12.91,手动,国IV,1.8L,2023-10-30,2024-01,2024-01,1,124,L4,紧凑型车,92,前置前驱,福特
福瑞迪 2009款 1.6L MT GL,13,2010-07,南平,1.00,10.72,手动,国IV(国V),1.6L,2023-10-17,2023-07,2023-07,1,123,L4,紧凑型车,92,前置前驱,起亚
科鲁兹 2011款 1.6L SE AT,11,2011-03,南平,1.10,14.64,自动,国IV(国V),1.6L,2023-10-17,2023-03,2023-03,1,121,L4,紧凑型车,92,前置前驱,雪佛兰
本田CR-V 2015款 2.4L 两驱豪华版,10,2016-02,南平,9.00,24.94,自动,国IV(国V),2.4L,2023-12-07,2024-2,2024-2,0,186,L4,紧凑型SUV,92,前置前驱,本田
哈弗H6 2011款 绿静2.0T 手动两驱都市型,10,2012-06,南平,1.45,13.22,手动,国IV,2L,2023-10-17,2024-06,2024-06,1,150,L4,紧凑型SUV,0,前置前驱,哈弗
悦动 2010款 1.6L MT GLS,9.9,2010-09,南平,1.12,11.92,手动,国IV(国V),1.6L,2023-11-01,2024-09,2024-09,1,123,L4,紧凑型车,92,前置前驱,现代
