车名,里程数,年份,城市,售价,原价,变速箱,排放标准,排量/续航,发布时间,年检到期,保险到期,过户次数,马力,气缸类型,车辆级别,燃油标号,驱动方式,品牌
奔驰C级 2023款 C 260 L 运动版,2,2022-07,厦门,29.80,38.37,自动,国VI,1.5L,2023-11-26,2024-07,2024-07,1,204,L4,中型车,95,前置后驱,奔驰
威霆 2023款 2.0T 精英版 7座,0.01,未上牌,西安,38.68,31.89,自动,国VI,2L,2023-11-27,已过期,已过期,0,211,L4,,95,前置后驱,奔驰
奔驰A级AMG 2020款 AMG A 35 L 4MATIC,3.4,2021-02,厦门,26.80,43.40,自动,国VI,2L,2023-12-02,2025-02,2024-02,0,306,L4,紧凑型车,95,前置四驱,奔驰
威霆 2023款 2.0T 商务版 7座,0.01,2023-12,厦门,50.80,38.51,自动,国VI,2L,2023-12-05,2025-12,2023-12,0,211,L4,,95,前置后驱,奔驰
威霆 2023款 2.0T 商务版 7座,0.01,2023-11,厦门,47.88,38.51,自动,国VI,2L,2023-11-27,2025-11,2023-11,0,211,L4,,95,前置后驱,奔驰
宝马X3 2021款 xDrive28i M运动套装,2.3,2021-05,福州,29.50,46.22,自动,国VI,2L,2023-10-20,2025-05,2024-05,0,224,L4,中型SUV,95,前置四驱,宝马
奥迪Q5L 2020款 45 TFSI 尊享风雅型,4,2020-06,福州,26.38,51.56,自动,国VI,2L,2023-12-05,2024-06,2024-06,0,252,L4,中型SUV,95,前置四驱,奥迪
奥迪Q7 2018款 45 TFSI S line运动型,12.5,2019-02,厦门,33.90,91.72,自动,国V,3L,2023-11-26,2025-02,2024-02,1,333,V6,中大型SUV,95,前置四驱,奥迪
马自达3 昂克赛拉 2014款 三厢 1.5L 自动豪华型,9,2015-01,宁德,4.50,15.08,自动,国IV(国V),1.5L,2023-12-08,2024-1,2024-1,0,117,L4,紧凑型车,92,前置前驱,马自达
奔驰GLE 2020款 GLE 450 4MATIC 时尚型,4,2020-08,福州,65.80,91.59,自动,国VI,3L,2023-11-20,2024-08,2024-08,0,367,L6,中大型SUV,95,前置四驱,奔驰
Panamera 2019款 Panamera 2.9T,3.3,2020-07,厦门,86.80,105.62,自动,国VI,2.9L,2023-09-02,2024-07,2023-07,1,330,V6,大型车,95,前置后驱,保时捷
飞驰 2012款 6.0T 限量版,15,2012-02,泉州,,已降3000元,自动,欧IV,6L,2023-06-21,2024-02,2024-02,2,560,W12,大型车,95,前置四驱,宾利
宝马M4 2014款 M4敞篷轿跑车,5.7,2017-09,厦门,45.80,119.18,自动,欧VI,3L,2023-11-13,2024-09,2024-09,1,431,L6,中型车,95,前置后驱,宝马
马自达CX-4 2021款 2.0L 自动两驱蓝天活力版,2.2,2021-09,宁德,10.70,16.59,自动,国VI,2L,2023-10-25,2025-09,2024-09,0,158,L4,紧凑型SUV,92,前置前驱,马自达
奔驰GLC 2020款 改款 GLC 260 L 4MATIC 动感型,2.8,2020-06,宁德,30.50,42.85,自动,国VI,2L,2023-12-06,2024-06,2024-06,0,197,L4,中型SUV,95,前置四驱,奔驰
宝马X7 2020款 xDrive40i 尊享型豪华套装,5.4,2020-03,厦门,69.80,118.10,自动,国VI,3L,2023-08-03,2024-03,2024-03,1,340,L6,大型SUV,95,前置四驱,宝马
宝马6系 2013款 改款 640i Gran Coupe,13.6,2014-07,泉州,17.98,103.34,自动,欧V,3L,2023-11-02,2024-07,2024-07,2,320,L6,中大型车,95,前置后驱,宝马
奔驰GLC 2020款 改款 GLC 260 L 4MATIC 豪华型,4.9,2020-09,宁德,32.30,45.89,自动,国VI,2L,2023-11-20,2024-09,2024-09,0,197,L4,中型SUV,95,前置四驱,奔驰
马自达CX-5 2017款 2.0L 自动两驱智享型 国V,7.1,2018-09,宁德,9.90,21.69,自动,国V,2L,2023-12-03,2024-09,2024-09,0,155,L4,紧凑型SUV,92,前置前驱,马自达
马自达CX-5 2015款 2.0L 自动两驱都市型,7,2017-04,宁德,6.98,20.71,自动,国IV(国V),2L,2023-12-01,2024-4,2024-4,0,155,L4,紧凑型SUV,92,前置前驱,马自达
睿翼 2009款 2.5L 自动至尊版,11,2011-08,宁德,3.80,24.94,自动,欧IV+OBD,2.5L,2023-12-07,2024-8,2024-8,0,169,L4,中型车,92,前置前驱,马自达
奔驰R级 2015款 R 400 4MATIC 商务型,8,2015-09,宁德,26.80,82.06,自动,欧V,3L,2023-12-05,2023-9,2023-9,0,333,V6,,95,前置四驱,奔驰
奥迪A7 2020款 45 TFSI 臻选型,4.8,2020-10,龙岩,43.88,66.52,自动,国VI,2L,2023-11-25,2024-10,2024-10,2,245,L4,中大型车,95,前置前驱,奥迪
领克05 2022款 2.0TD 两驱耀Halo,2.2,2022-10,宁德,14.88,21.69,自动,国VI,2L,2023-11-21,2024-10,2024-10,0,254,L4,紧凑型SUV,95,前置前驱,领克
探岳 2021款 330TSI 两驱30周年纪念版,3.4,2021-09,宁德,14.90,24.02,自动,国VI,2L,2023-12-02,2025-09,2024-09,0,186,L4,中型SUV,95,前置前驱,大众
捷豹F-PACE 2016款 2.0T 两驱R-Sport运动版,8.2,2016-11,厦门,16.88,68.17,自动,国V,2L,2023-09-25,2023-11,2023-11,2,241,L4,中型SUV,95,前置后驱,捷豹
哈弗F7 2019款 2.0T 两驱i范 国VI,3,2019-06,宁德,7.70,15.52,自动,国VI,2L,2023-11-29,2025-06,2024-06,0,224,L4,紧凑型SUV,92,前置前驱,哈弗
北京现代ix35 2019款 2.0L 自动两驱智勇・畅享版 国VI,3,2019-11,宁德,7.90,15.19,自动,国VI,2L,2023-12-09,2025-11,2024-11,0,160,L4,紧凑型SUV,92,前置前驱,现代
Giulia朱丽叶 2017款 2.0T 280HP 豪华版,7.2,2018-12,福州,13.98,41.23,自动,国V,2L,2023-11-15,2024-12,2023-12,1,280,L4,中型车,92,前置后驱,阿尔法・罗密欧
RAV4荣放 2021款 2.0L CVT两驱风尚PLUS版,2.2,2021-05,宁德,14.90,21.80,自动,国VI,2L,2023-12-03,2025-05,2024-05,0,171,L4,紧凑型SUV,92,前置前驱,丰田
哈弗大狗 2021款 2.0T DCT两驱中华猎犬版,2.5,2021-07,宁德,10.98,15.84,自动,国VI,2L,2023-11-23,2025-07,2024-07,0,211,L4,紧凑型SUV,92,前置前驱,哈弗
上汽大通MAXUS G10 2016款 2.0T 自动旗舰版,9.5,2017-12,宁德,7.80,29.29,自动,国V,2L,2023-12-07,2024-12,2024-12,0,224,L4,,92,前置后驱,上汽大通MAXUS
宝来 2020款 1.5L 自动精英型,3,2020-11,宁德,7.90,15.09,自动,国VI,1.5L,2023-12-09,2024-11,2024-11,0,113,L4,紧凑型车,92,前置前驱,大众
凯美瑞 2019款 改款 2.0G 豪华版,5.6,2020-08,宁德,13.90,21.69,自动,国VI,2L,2023-12-09,2024-08,2024-08,0,178,L4,中型车,92,前置前驱,丰田
途观 2013款 1.8TSI 自动两驱豪华型,9,2014-01,宁德,5.60,28.20,自动,国IV(国V),1.8L,2023-12-07,2024-1,2024-1,0,160,L4,紧凑型SUV,95,前置前驱,大众
探岳 2020款 330TSI 两驱豪华智联版,4,2020-11,宁德,13.90,23.98,自动,国VI,2L,2023-12-06,2024-11,2024-11,0,186,L4,中型SUV,95,前置前驱,大众
缤越 2020款 PRO 260T DCT游侠,3.2,2020-05,宁德,6.50,11.92,自动,国VI,1.5L,2023-11-05,2024-05,2024-05,0,177,L3,小型SUV,92,前置前驱,吉利汽车
魏牌 VV5 2021款 1.5T 两驱智先锋,6,2020-12,厦门,6.98,15.17,自动,国VI,1.5L,2023-12-05,2024-12,2023-12,0,171,L4,紧凑型SUV,92,前置前驱,魏牌
T-ROC探歌 2021款 改款 280TSI DSG两驱精英智联版,0.9,2022-05,宁德,10.90,17.25,自动,国VI,1.4L,2023-09-01,2024-05,2023-05,0,150,L4,紧凑型SUV,95,前置前驱,大众
福克斯 2017款 两厢 EcoBoost 180 自动精英型,9,2018-01,宁德,5.60,16.26,自动,国V,1.5L,2023-11-12,2024-1,2024-1,0,181,L4,紧凑型车,92,前置前驱,福特
魏牌 VV5 2020款 1.5T 两驱智先锋,5,2020-05,宁德,7.60,14.96,自动,国VI,1.5L,2023-12-07,2024-5,2024-5,0,171,L4,紧凑型SUV,92,前置前驱,魏牌
领克03 2019款 1.5TD DCT劲Pro版 国VI,1.6,2020-07,宁德,9.90,16.15,自动,国VI,1.5L,2023-11-03,2024-07,2024-07,0,180,L3,紧凑型车,95,前置前驱,领克
轩逸 2012款 1.6XE CVT舒适版,17,2013-03,宁德,3.60,14.00,自动,国V,1.6L,2023-12-07,2023-3,2023-4,0,126,L4,紧凑型车,92,前置前驱,日产
本田XR-V 2017款 1.8L EXi CVT舒适版,3.5,2019-04,宁德,9.30,16.26,自动,国V,1.8L,2023-12-04,2025-04,2024-04,0,136,L4,小型SUV,92,前置前驱,本田
吉利ICON 2020款 1.5TD i9 BSG,3.5,2020-09,宁德,7.88,13.98,自动,国VI,1.5L,2023-11-26,2024-09,2024-09,0,177,L3,小型SUV,92,前置前驱,吉利汽车
博越 2020款 1.8TD DCT智慧PRO,7,2021-04,宁德,7.98,13.76,自动,国VI,1.8L,2023-12-07,2024-4,2024-4,0,184,L4,紧凑型SUV,92,前置前驱,吉利汽车
嘉年华 2010款 三厢 1.5L 自动光芒限定版,10,2011-06,宁德,1.78,11.28,自动,国IV,1.5L,2023-12-03,2024-6,2024-6,0,103,L4,小型车,92,前置前驱,福特
领克06 2020款 1.5T 劲Pro,1.6,2020-10,宁德,8.60,13.96,自动,国VI,1.5L,2023-11-01,2024-10,2024-10,0,177,L3,小型SUV,92,前置前驱,领克
丰田C-HR 2020款 2.0L 领先版,4,2020-10,宁德,9.68,17.24,自动,国VI,2L,2023-11-25,2024-10,2024-10,4,171,L4,小型SUV,92,前置前驱,丰田
思铂睿 2009款 2.4L 尊贵版,17,2010-12,宁德,3.80,27.12,自动,国IV,2.4L,2023-12-07,2023-12,2023-12,0,181,L4,中型车,92,前置前驱,本田
缤越 2019款 260T DCT骑士 国VI,5.3,2019-06,宁德,5.90,10.83,自动,国VI,1.5L,2023-10-09,2025-06,2024-06,0,177,L3,小型SUV,92,前置前驱,吉利汽车
缤越 2019款 运动款 260T DCT Battle 国VI,4.3,2019-03,宁德,6.50,13.00,自动,国VI,1.5L,2023-11-02,2025-03,2024-03,0,177,L3,小型SUV,92,前置前驱,吉利汽车
