车名,里程数,年份,城市,售价,原价,变速箱,排放标准,排量/续航,发布时间,年检到期,保险到期,过户次数,马力,气缸类型,车辆级别,燃油标号,驱动方式,品牌
奔驰C级新能源 2023款 C 350 eL,2,2022-10,莆田,27.80,44.21,自动,插电混动,105km,2023-12-08,2024-10,2024-10,1,204,L4,中型车,前置后驱,"
            ",奔驰
smart forfour 2018款 1.0L 52千瓦灵动版,5.5,2018-05,莆田,6.20,13.33,自动,国V,1L,2023-11-30,2024-05,2024-05,1,71,L3,微型车,95,后置后驱,smart
奔驰GLC 2020款 GLC 300 L 4MATIC 动感型,2.8,2020-01,莆田,33.30,48.61,自动,国VI,2L,2023-12-08,2025-01,2024-01,1,258,L4,中型SUV,95,前置四驱,奔驰
奔驰C级 2023款 C 260 L 运动版,2,2022-07,厦门,29.80,38.37,自动,国VI,1.5L,2023-11-26,2024-07,2024-07,1,204,L4,中型车,95,前置后驱,奔驰
奔驰G级AMG 2021款 AMG G 63,1.6,2021-08,泉州,245.00,266.81,自动,国VI,4L,2023-12-01,2025-08,2024-08,0,585,V8,中大型SUV,95,前置四驱,奔驰
奔驰GLE轿跑 2022款 GLE 350 4MATIC 轿跑SUV 豪华型,0.4,2022-09,莆田,59.90,88.39,自动,国VI,2L,2023-12-08,2024-09,2024-09,1,258,L4,中大型SUV,95,前置四驱,奔驰
奔驰C级新能源 2023款 C 350 eL,0.7,2022-10,莆田,28.30,44.21,自动,插电混动,105km,2023-12-07,2024-10,2024-10,1,204,L4,中型车,前置后驱,"
            ",奔驰
奔驰CLA 2023款 CLA 200,0.9,2023-02,莆田,26.50,32.87,自动,国VI,1.3L,2023-12-07,2025-02,2024-02,1,163,L4,紧凑型车,95,前置前驱,奔驰
威霆 2023款 2.0T 商务版 7座,0.01,2023-12,厦门,50.80,38.51,自动,国VI,2L,2023-12-05,2025-12,2023-12,0,211,L4,,95,前置后驱,奔驰
威霆 2023款 2.0T 商务版 7座,0.01,2023-11,厦门,47.88,38.51,自动,国VI,2L,2023-11-27,2025-11,2023-11,0,211,L4,,95,前置后驱,奔驰
奔驰A级AMG 2020款 AMG A 35 L 4MATIC,3.4,2021-02,厦门,26.80,43.40,自动,国VI,2L,2023-12-02,2025-02,2024-02,0,306,L4,紧凑型车,95,前置四驱,奔驰
威霆 2023款 2.0T 精英版 7座,0.01,未上牌,西安,38.68,31.89,自动,国VI,2L,2023-11-27,已过期,已过期,0,211,L4,,95,前置后驱,奔驰
宝马X3 2021款 xDrive28i M运动套装,2.3,2021-05,福州,29.50,46.22,自动,国VI,2L,2023-10-20,2025-05,2024-05,0,224,L4,中型SUV,95,前置四驱,宝马
奔驰GLB 2022款 GLB 220 动感型,2.8,2022-09,莆田,24.60,35.92,自动,国VI,2L,2023-10-12,2024-09,2024-09,0,190,L4,紧凑型SUV,95,前置前驱,奔驰
奔驰GLC 2022款 改款 GLC 300 L 4MATIC 动感型臻藏版,1.1,2022-10,莆田,36.60,49.05,自动,国VI,2L,2023-12-07,2024-10,2024-10,1,258,L4,中型SUV,95,前置四驱,奔驰
奥迪Q5L 2020款 45 TFSI 尊享风雅型,4,2020-06,福州,26.38,51.56,自动,国VI,2L,2023-12-05,2024-06,2024-06,0,252,L4,中型SUV,95,前置四驱,奥迪
骐达TIIDA 2021款 1.6L CVT智行版,2.2,2021-06,泉州,7.98,13.45,自动,国VI,1.6L,2023-08-17,2025-06,2024-06,0,122,L4,紧凑型车,92,前置前驱,日产
Panamera 2019款 Panamera 2.9T,3.3,2020-07,厦门,86.80,105.62,自动,国VI,2.9L,2023-09-02,2024-07,2023-07,1,330,V6,大型车,95,前置后驱,保时捷
奔驰S级 2014款 S 500 L 4MATIC,12,2014-09,莆田,45.80,227.73,自动,欧V,4.7L,2023-11-20,2024-09,2024-09,1,435,V8,大型车,95,前置四驱,奔驰
奔驰GLC 2021款 GLC 260 L 4MATIC 豪华型,4.1,2021-09,莆田,34.90,46.65,自动,国VI,2L,2023-11-02,2025-09,2024-09,1,197,L4,中型SUV,95,前置四驱,奔驰
飞驰 2012款 6.0T 限量版,15,2012-02,泉州,,已降3000元,自动,欧IV,6L,2023-06-21,2024-02,2024-02,2,560,W12,大型车,95,前置四驱,宾利
