车名,里程数,年份,城市,售价,原价,变速箱,排放标准,排量/续航,发布时间,年检到期,保险到期,过户次数,马力,气缸类型,车辆级别,燃油标号,驱动方式,品牌
奔驰C级 2023款 C 260 L 运动版,2,2022-07,厦门,29.80,38.37,自动,国VI,1.5L,2023-11-26,2024-07,2024-07,1,204,L4,中型车,95,前置后驱,奔驰
威霆 2023款 2.0T 精英版 7座,0.01,未上牌,西安,38.68,31.89,自动,国VI,2L,2023-11-27,已过期,已过期,0,211,L4,,95,前置后驱,奔驰
奔驰A级AMG 2020款 AMG A 35 L 4MATIC,3.4,2021-02,厦门,26.80,43.40,自动,国VI,2L,2023-12-02,2025-02,2024-02,0,306,L4,紧凑型车,95,前置四驱,奔驰
奔驰E级 2021款 E 300 L 时尚型,3,2021-10,泉州,39.98,50.78,自动,国VI,2L,2023-10-06,2023-10,2023-10,0,258,L4,中大型车,95,前置后驱,奔驰
奔驰GLE 2022款 GLE 350 4MATIC 时尚型,1.3,2022-05,三明,59.80,79.87,自动,国VI,2L,2023-12-02,2024-05,2024-05,0,258,L4,中大型SUV,95,前置四驱,奔驰
宝马X3 2021款 xDrive28i M运动套装,2.3,2021-05,福州,29.50,46.22,自动,国VI,2L,2023-10-20,2025-05,2024-05,0,224,L4,中型SUV,95,前置四驱,宝马
奥迪Q5L 2020款 45 TFSI 尊享风雅型,4,2020-06,福州,26.38,51.56,自动,国VI,2L,2023-12-05,2024-06,2024-06,0,252,L4,中型SUV,95,前置四驱,奥迪
Panamera 2019款 Panamera 2.9T,3.3,2020-07,厦门,86.80,105.62,自动,国VI,2.9L,2023-09-02,2024-07,2023-07,1,330,V6,大型车,95,前置后驱,保时捷
奔驰E级 2019款 改款 E 300 L 运动豪华型,3,2019-08,三明,31.88,53.49,自动,国VI,2L,2023-11-07,2025-08,2024-08,0,258,L4,中大型车,95,前置后驱,奔驰
奔驰GLC 2020款 改款 GLC 260 L 4MATIC 豪华型,5.8,2019-11,三明,28.38,45.89,自动,国VI,2L,2023-11-26,2023-11,2023-11,0,197,L4,中型SUV,95,前置四驱,奔驰
飞驰 2012款 6.0T 限量版,15,2012-02,泉州,,已降3000元,自动,欧IV,6L,2023-06-21,2024-02,2024-02,2,560,W12,大型车,95,前置四驱,宾利
宝马M4 2014款 M4敞篷轿跑车,5.7,2017-09,厦门,45.80,119.18,自动,欧VI,3L,2023-11-13,2024-09,2024-09,1,431,L6,中型车,95,前置后驱,宝马
宝马X7 2020款 xDrive40i 尊享型豪华套装,5.4,2020-03,厦门,69.80,118.10,自动,国VI,3L,2023-08-03,2024-03,2024-03,1,340,L6,大型SUV,95,前置四驱,宝马
奔驰E级 2019款 E 200 L 运动型,2.7,2020-10,三明,29.80,46.22,自动,国VI,2L,2023-12-03,2024-10,2024-10,0,184,L4,中大型车,95,前置后驱,奔驰
奔驰GLC 2021款 GLC 260 L 4MATIC 动感型,5,2020-11,三明,27.88,43.18,自动,国VI,2L,2023-11-07,2024-11,2023-11,0,197,L4,中型SUV,95,前置四驱,奔驰
奔驰C级 2017款 改款 C 200 运动版,7,2017-08,三明,15.98,34.17,自动,欧V,2L,2023-10-21,2024-08,2024-08,0,184,L4,中型车,95,前置后驱,奔驰
奔驰E级 2018款 E 200 运动型,6.8,2018-10,三明,25.30,45.57,自动,欧V,2L,2023-11-08,2024-10,2024-10,0,184,L4,中大型车,95,前置后驱,奔驰
奔驰C级 2020款 C 260 L 运动版,2.2,2020-12,三明,23.68,37.64,自动,国VI,1.5L,2023-10-30,2024-12,2023-12,0,184,L4,中型车,95,前置后驱,奔驰
奔驰GLE 2020款 GLE 450 4MATIC 时尚型,4,2020-08,福州,65.80,91.59,自动,国VI,3L,2023-11-20,2024-08,2024-08,0,367,L6,中大型SUV,95,前置四驱,奔驰
奔驰GLC轿跑 2020款 GLC 260 4MATIC 轿跑SUV,4.1,2020-11,三明,28.90,49.80,自动,国VI,2L,2023-11-29,2024-11,2023-11,0,197,L4,中型SUV,95,前置四驱,奔驰
奔驰GLB 2020款 改款 GLB 200 动感型,5.1,2020-09,三明,18.88,34.60,自动,国VI,1.3L,2023-11-07,2024-09,2023-09,0,163,L4,紧凑型SUV,95,前置前驱,奔驰
奔驰E级 2021款 E 300 L 时尚型,5.5,2021-01,三明,39.30,50.78,自动,国VI,2L,2023-10-22,2025-01,2024-01,0,258,L4,中大型车,95,前置后驱,奔驰
奔驰C级 2020款 C 260 L 运动版,6.3,2020-05,三明,21.88,37.64,自动,国VI,1.5L,2023-11-08,2024-05,2024-05,0,184,L4,中型车,95,前置后驱,奔驰
奔驰C级 2020款 C 260 运动版,4.4,2020-01,三明,20.88,33.74,自动,国VI,1.5L,2023-11-07,2024-01,2024-01,0,184,L4,中型车,95,前置后驱,奔驰
奥迪A7 2021款 40 TFSI 豪华型,3.3,2021-11,三明,42.90,62.28,自动,国VI,2L,2023-11-16,2023-11,2023-11,0,190,L4,中大型车,95,前置前驱,奥迪
奔驰C级 2018款 C 200 L 运动版 成就特别版,3,2018-06,三明,20.98,38.40,自动,欧V,2L,2023-10-25,2024-06,2024-06,1,184,L4,中型车,95,前置后驱,奔驰
奥迪Q7 2021款 45 TFSI quattro S line运动型,0.54,2021-07,三明,47.80,74.77,自动,国VI,2L,2023-11-07,2023-07,2023-07,0,245,L4,中大型SUV,95,前置四驱,奥迪
奥迪Q5L 2021款 45 TFSI 豪华动感型,2.4,2021-09,三明,29.88,48.87,自动,国VI,2L,2023-11-16,2025-09,2024-09,0,252,L4,中型SUV,95,前置四驱,奥迪
奔驰E级 2019款 E 300 L 时尚型,7.2,2019-07,三明,29.30,50.56,自动,国VI,2L,2023-11-30,2024-7,2024-7,0,245,L4,中大型车,95,前置后驱,奔驰
奥迪Q5L 2020款 40 TFSI 荣享时尚型,3.6,2020-01,三明,23.88,45.13,自动,国VI,2L,2023-12-01,2024-01,2024-01,0,190,L4,中型SUV,95,前置四驱,奥迪
沃尔沃XC60 2018款 T5 四驱智逸版,6.6,2018-04,三明,17.98,43.41,自动,国V,2L,2023-11-07,2024-04,2024-04,0,254,L4,中型SUV,95,前置四驱,沃尔沃
奥迪A7 2020款 45 TFSI 臻选型,4.8,2020-10,龙岩,43.88,66.52,自动,国VI,2L,2023-11-25,2024-10,2024-10,2,245,L4,中大型车,95,前置前驱,奥迪
沃尔沃S90 2020款 T5 智逸豪华版,5.7,2019-10,三明,18.98,43.73,自动,国VI,2L,2023-11-07,2023-10,2023-10,0,254,L4,中大型车,95,前置前驱,沃尔沃
沃尔沃XC60 2017款 T5 智进版,7.8,2017-06,三明,11.98,41.13,自动,国V,2L,2023-11-08,2024-06,2024-06,0,245,L4,中型SUV,95,前置前驱,沃尔沃
奥迪A6L 2014款 TFSI 标准型,12,2013-10,三明,10.80,44.48,自动,国IV(国V),2L,2023-11-01,2024-10,2024-10,0,180,L4,中大型车,95,前置前驱,奥迪
沃尔沃V40 2017款 T3 智逸版,6.6,2017-03,三明,8.98,26.69,自动,国V,1.5L,2023-11-11,2024-03,2024-03,0,152,L4,紧凑型车,95,前置前驱,沃尔沃
奥迪A1 2013款 30 TFSI Sportback Ego,9.48,2013-02,三明,5.88,28.20,自动,国IV(国V),1.4L,2023-11-08,2024-02,2024-02,0,122,L4,小型车,95,前置前驱,奥迪
奥迪A4L 2020款 40 TFSI 时尚动感型,3.4,2021-06,三明,20.87,34.60,自动,国VI,2L,2023-10-22,2025-06,2024-06,0,190,L4,中型车,95,前置前驱,奥迪
奥迪A3 2020款 Limousine 35 TFSI 时尚型 国V,4.9,2020-04,三明,10.88,23.85,自动,国V,1.4L,2023-11-08,2024-04,2024-04,0,150,L4,紧凑型车,95,前置前驱,奥迪
宝马5系 2021款 530Li 领先型 M运动套装,4.3,2021-08,三明,34.68,50.68,自动,国VI,2L,2023-11-08,2025-08,2024-08,0,252,L4,中大型车,95,前置后驱,宝马
速腾 2021款 280TSI DSG 30周年纪念版,2,2022-02,三明,9.98,16.86,自动,国VI,1.4L,2023-11-30,2024-02,2024-02,0,150,L4,紧凑型车,95,前置前驱,大众
MINI 2020款 1.5T COOPER 经典派,2.2,2021-01,三明,16.80,24.94,自动,国VI,1.5L,2023-11-08,2025-01,2024-01,0,136,L3,小型车,95,前置前驱,MINI
宝马3系 2022款 325i M运动曜夜套装,1.3,2022-01,三明,26.80,35.48,自动,国VI,2L,2023-11-08,2024-01,2024-01,0,184,L4,中型车,95,前置后驱,宝马
帕萨特 2022款 330TSI 精英版,2.8,2022-09,三明,15.60,22.35,自动,国VI,2L,2023-11-01,2024-09,2024-09,0,186,L4,中型车,95,前置前驱,大众
沃尔沃S60 2016款 S60L T4 智远版,8.1,2017-01,三明,9.60,33.64,自动,国V,2L,2023-11-08,2024-01,2024-01,0,190,L4,中型车,95,前置前驱,沃尔沃
宝马5系(进口) 2022款 540i 风尚版 M运动套装,3.5,2022-02,三明,45.90,65.01,自动,国VI,3L,2023-10-30,2024-02,2024-02,0,340,L6,中大型车,95,前置后驱,宝马
宝马5系 2018款 530Li 尊享型 豪华套装,9.1,2018-02,三明,29.58,56.98,自动,国V,2L,2023-11-02,2024-02,2024-02,0,252,L4,中大型车,95,前置后驱,宝马
宝马X3 2021款 xDrive25i 豪华套装,4,2021-01,三明,26.60,42.31,自动,国VI,2L,2023-12-09,2025-01,2024-01,0,184,L4,中型SUV,95,前置四驱,宝马
奥迪A7 2014款 50 TFSI quattro 舒适型,6.7,2014-09,三明,20.90,89.88,自动,国IV,3L,2023-11-15,2024-09,2024-09,0,310,V6,中大型车,95,前置四驱,奥迪
Cayenne 2019款 Cayenne 3.0T,5.85,2019-11,厦门,69.70,99.10,自动,国VI,3L,2023-11-15,2023-11,2023-11,2,340,V6,中大型SUV,95,前置四驱,保时捷
宝马6系GT 2019款 630i M运动大旅行家版,2.5,2019-06,三明,38.80,74.24,自动,国VI,2L,2023-11-07,2025-06,2024-06,0,258,L4,中大型车,95,前置后驱,宝马
奥迪Q3 2018款 30周年年型 35 TFSI quattro 全时四驱运动型,4,2018-08,三明,12.98,35.35,自动,国V,2L,2023-11-08,2024-08,2023-08,0,180,L4,紧凑型SUV,95,前置四驱,奥迪
奥迪A4L 2013款 35 TFSI 自动标准型,13,2013-11,三明,7.68,33.63,自动,国IV+OBD,2L,2023-12-01,2024-11,2024-11,0,180,L4,中型车,95,前置前驱,奥迪
