车名,里程数,年份,城市,售价,原价,变速箱,排放标准,排量/续航,发布时间,年检到期,保险到期,过户次数,马力,气缸类型,车辆级别,燃油标号,驱动方式,品牌
奔驰GLE 2021款 GLE 350 4MATIC 时尚型,3,2021-06,厦门,59.80,80.19,自动,国VI,2L,2023-12-02,2025-06,2024-06,1,258,L4,中大型SUV,95,前置四驱,奔驰
奔驰GLC 2021款 GLC 300 L 4MATIC 动感型,4,2021-03,厦门,36.50,49.37,自动,国VI,2L,2023-10-31,2025-03,2024-03,2,258,L4,中型SUV,95,前置四驱,奔驰
奔驰GLC 2020款 GLC 260 L 4MATIC 豪华型,10,2020-07,厦门,28.80,45.89,自动,国VI,2L,2023-11-21,2024-07,2024-07,1,197,L4,中型SUV,95,前置四驱,奔驰
迈巴赫S级 2021款 S 480 4MATIC,4.8,2022-01,合肥,136.80,159.35,自动,国VI,3L,2023-11-11,2024-01,2024-01,0,367,L6,大型车,95,前置四驱,奔驰
迈巴赫S级 2015款 S 500 4MATIC,2.9,2017-08,厦门,89.80,238.59,自动,欧V,4L,2023-11-21,2024-08,2024-08,1,421,V8,大型车,95,前置四驱,奔驰
奔驰GLC轿跑 2022款 GLC 260 4MATIC 轿跑SUV,3.1,2022-07,厦门,36.98,50.02,自动,国VI,2L,2023-10-26,2024-07,2024-07,1,197,L4,中型SUV,95,前置四驱,奔驰
威霆 2023款 2.0T 商务版 7座,0.01,2023-11,厦门,47.88,38.51,自动,国VI,2L,2023-11-30,2025-11,2023-11,0,211,L4,,95,前置后驱,奔驰
奔驰A级AMG 2020款 AMG A 35 L 4MATIC,3.4,2021-02,厦门,26.80,43.40,自动,国VI,2L,2023-12-02,2025-02,2024-02,0,306,L4,紧凑型车,95,前置四驱,奔驰
马自达3 昂克赛拉 2021款 2.0L 自动质雅版,5.51,2022-01,厦门,10.51,15.51,自动,国VI,2L,2023-11-01,2024-1,2024-1,0,158,L4,紧凑型车,92,前置前驱,马自达
奔驰GLE 2021款 GLE 350 4MATIC 动感型,3.2,2021-03,厦门,57.20,75.96,自动,国VI,2L,2023-11-22,2025-03,2024-03,1,258,L4,中大型SUV,95,前置四驱,奔驰
奔驰C级 2023款 C 260 L 运动版,2,2022-07,厦门,29.80,38.37,自动,国VI,1.5L,2023-11-26,2024-07,2024-07,1,204,L4,中型车,95,前置后驱,奔驰
奥迪Q3 2022款 40 TFSI 时尚动感型,2.7,2022-06,厦门,19.80,33.19,自动,国VI,2L,2023-11-27,2024-06,2024-06,1,186,L4,紧凑型SUV,95,前置前驱,奥迪
奥迪A3 2018款 30周年年型 Limousine 35 TFSI 时尚型,6.4,2018-11,厦门,10.58,23.86,自动,国V,1.4L,2023-11-16,2024-11,2023-11,1,150,L4,紧凑型车,95,前置前驱,奥迪
奔驰CLS 2022款 CLS 300 动感型,2.1,2022-03,厦门,53.90,69.23,自动,国VI,2L,2023-11-22,2024-03,2024-03,0,258,L4,中大型车,95,前置后驱,奔驰
奔驰E级 2022款 改款二 E 300 L 时尚型,2.5,2022-10,厦门,42.80,51.97,自动,国VI,2L,2023-11-25,2024-10,2024-10,0,258,L4,中大型车,95,前置后驱,奔驰
奥迪Q3 2013款 35 TFSI 舒适型,7.5,2014-07,厦门,8.68,34.30,自动,国IV(国V),2L,2023-12-07,2024-07,2024-07,2,170,L4,紧凑型SUV,95,前置前驱,奥迪
宝马3系 2023款 325Li M运动曜夜套装,2,2023-01,厦门,27.98,40.15,自动,国VI,2L,2023-12-08,2025-01,2024-01,2,184,L4,中型车,95,前置后驱,宝马
阿斯顿・马丁DBX 2023款 4.0T V8,0.02,未上牌,厦门,298.00,259.21,自动,国VI,4L,2023-10-10,-,-,0,550,V8,中大型SUV,95,前置四驱,阿斯顿・马丁
奔驰E级 2021款 E 300 L 尊贵型,3,2021-01,厦门,44.80,58.16,自动,国VI,2L,2023-11-26,2025-01,2024-01,0,258,L4,中大型车,95,前置后驱,奔驰
奔驰GLC 2021款 GLC 260 L 4MATIC 豪华型,3.5,2021-10,厦门,33.80,46.65,自动,国VI,2L,2023-11-23,2023-10,2023-10,1,197,L4,中型SUV,95,前置四驱,奔驰
宝马X7 2020款 xDrive40i 尊享型豪华套装,5.4,2020-03,厦门,69.80,118.10,自动,国VI,3L,2023-08-03,2024-03,2024-03,1,340,L6,大型SUV,95,前置四驱,宝马
小蚂蚁 2018款 4座智享版,7.55,2018-03,厦门,3.20,17.79,自动,纯电动,151km,2023-12-01,2024-03,2024-03,1,41,,微型车,后置后驱,"
            ",奇瑞新能源
